Exporters	2010-Exported quantity, Tons	2011-Exported quantity, Tons	2012-Exported quantity, Tons	2013-Exported quantity, Tons	2014-Exported quantity, Tons	2015-Exported quantity, Tons	2016-Exported quantity, Tons	2017-Exported quantity, Tons	2018-Exported quantity, Tons	2019-Exported quantity, Tons	2020-Exported quantity, Tons	2021-Exported quantity, Tons	
"World"	1214351	1153849	1214137	1267952	1326425	1370772	1435756	1386312	1466019	No Quantity	No Quantity	No Quantity	
"Netherlands"	138693	141021	172551	175908	181423	191954	228026	222106	218488	237042	251917	272105	
"Ireland"	130068	138898	140547	152629	141914	176444	185560	198444	218804	257186	289292	272013	
"New Zealand"	245393	254906	265711	259878	296759	291884	297476	269147	273223	280773	242003	241038	
"Germany"	110900	89595	99833	122346	129422	135736	129008	125805	116785	135311	133137	129049	
"Belgium"	74627	69003	77290	78941	92940	95357	113618	105189	117726	116988	116471	126608	
"Belarus"	45282	45238	53926	49857	55270	69600	76581	72939	77619	67130	68264	77382	
"France"	53480	53208	59423	58947	69359	76003	72132	72307	69930	71509	72401	76153	
"Denmark"	55978	50350	44780	37385	33935	37861	38920	37246	52780	51515	49526	52838	
"Poland"	24090	31931	29561	29930	32046	36978	40820	49809	61865	52985	55255	46851	
"United States of America"	45492	52457	43807	82468	59636	18331	17631	22845	27407	21457	21620	45028	
"United Kingdom"	15312	15825	14859	18084	24629	26019	41841	33347	40269	No Quantity	41051	36809	
"Australia"	37315	24354	41141	39536	35225	22940	20939	10637	10132	11510	11652	17449	
"Argentina"	10477	19345	17123	12997	9717	7590	4052	3029	5240	9217	14127	15893	
"Portugal"	21595	13197	17940	13848	13282	18699	17597	15261	14541	13159	13090	15323	
"Italy"	26784	8880	8307	7102	3095	7565	7132	6585	9394	10388	13226	14495	
"Uruguay"	9877	15530	30679	23164	20767	20542	11845	9645	13491	13044	13474	11940	
"Spain"	30405	14650	14487	13262	12256	14200	13637	12340	10230	11741	7967	10741	
"Ukraine"	440	1162	469	3232	5277	9985	9021	26995	28556	16023	9370	9252	
"India"	4386	3491	858	3368	2656	1778	1275	5704	15911	29878	5020	8052	
"Lithuania"	2850	3003	5522	5805	9861	6536	10647	5121	5262	4353	6417	5737	
"Austria"	1451	1335	1784	1680	1904	3848	4389	3689	3545	4218	3812	4552	
"Kyrgyzstan"	1563	683	876	590	521	540	1999	2993	2456	3480	4980	4141	
"Iran, Islamic Republic of"	1340	1632	1113	0	437	521	682	880	1020	51	64	4068	
"Kazakhstan"	12	12	28	191	63	3099	264	216	1577	2324	1395	4056	
"Türkiye"	212	551	298	874	730	300	263	1046	451	4318	2198	3239	
"Saudi Arabia"	2108	1809	2249	2509	1970	2311	2116	2556	2390	2310	3205	2964	
"Russian Federation"	1249	1183	3045	2069	4375	3138	3767	2817	2451	1608	3203	2690	
"Sweden"	4681	1421	1944	3270	1339	612	580	1146	2943	1586	2267	2518	
"United Arab Emirates"			5536	4617	5140	3768	1731	928	5118	14248	3610	2057	
"Ghana"	45	317	76	132	144	430	296	131	28	63	1924	1999	
"South Africa"	2788	2406	3120	1929	3708	2494	1953	1174	1814	1832	1777	1801	
"Costa Rica"	1025	867	1050	1219	1312	1606	897	1217	1233	1181	1340	1744	
"Hong Kong, China"	895	952	753	947	828	977	1392	947	834	1016	724	1520	
"China"	3000	3261	2550	426	1734	917	673	904	1380	1907	980	1386	
"Singapore"	1805	2445	3776	5201	5746	5812	3970	1976	1484	1970	1175	1328	
"Malaysia"	966	655	866	981	1825	1600	3823	3567	2682	940	1070	1316	
"Slovakia"	1849	1664	1552	2035	2367	2779	1830	1152	1284	906	1079	1174	
"Luxembourg"	2838	2952	2698	2403	2563	1566	509	536	720	948	751	1165	
"Colombia"	175	113	0	50	213	93	0	498	868	259	1101	1078	
"Paraguay"	67	34	418	527	449	384	193	422	504	486	881	1068	
"Honduras"	855	661	554	505	1423	792	1342	877	438	507	992	1000	
"Estonia"	4315	4210	1479	2523	2307	1588	1545	1124	895	772	1276	869	
"Bahrain"	3	1	2	4	4	57	4	38	56	13	6	718	
"Croatia"	419	450	514	389	470	358	343	504	586	668	640	605	
"Brazil"	4404	1125	614	371	4314	926	80	182	123	399	325	580	
"Bulgaria"	869	713	642	465	529	516	605	549	487	588	446	508	
"Burkina Faso"	0	0	0	0	0	0	0	0	0	0	0	493	
"Romania"	388	323	413	301	286	729	455	493	504	204	323	486	
"Latvia"	2957	2753	2052	4288	3919	2777	3629	2259	783	610	900	448	
"Thailand"	61	66	33	18	22	233	227	437	667	480	335	404	
"Serbia"	108	49	173	167	149	197	184	205	185	204	223	300	
"Greece"	22	35	52	165	236	256	209	163	297	253	326	294	
"Tunisia"	0	70	0	0	0	5	8	151	77	0	5	287	
"Hungary"	689	669	369	426	651	243	399	231	248	161	1019	279	
"Iceland"	515	512	550	162	1	2	447	87	304	198	235	274	
"Azerbaijan"	0	0	0	158	10	249	107	435	234	1573	388	256	
"Armenia"	0	0	0	37	120	36	0	9	16	64	42	170	
"Kuwait"	216	126	100	348	222	277	236	158	219	13	120	169	
"Uganda"	125	59	142	130	81	46	67	226	81	325	206	164	
"Uzbekistan"								20	7	45	37	145	
"Switzerland"	4145	5512	7352	61	3126	1892	4666	1865	779	329	359	140	
"Bolivia, Plurinational State of"	1036	615	702	744	810	716	318	226	90	99	190	120	
"Slovenia"	870	612	435	91	172	76	73	118	81	77	97	114	
"Indonesia"	251	343	83	260	57	158	145	120	67	41	114	98	
"Jordan"	0	0	30	17	4	50	3	40	26	46	75	90	
"Philippines"	22	51	11	0	0	4	17	8	2	11	103	75	
