Exporters	Exported value in 2010	Exported value in 2011	Exported value in 2012	Exported value in 2013	Exported value in 2014	Exported value in 2015	Exported value in 2016	Exported value in 2017	Exported value in 2018	Exported value in 2019	Exported value in 2020	Exported value in 2021	
"World"	3802865	4405425	3740252	4428320	4548405	4285212	4518147	6418706	6946564	6660120	5599323	6463730	
"Netherlands"	445281	550349	529077	650138	636885	604647	696832	998508	1034068	980831	893428	1061956	
"Ireland"	405769	518267	422993	541223	488388	543733	544280	891261	1089962	1086854	969339	1051065	
"New Zealand"	688911	1026562	715697	756614	888665	797983	833396	1197924	1212271	1132339	881204	988288	
"Germany"	357912	353460	326588	450429	456993	429577	407033	595252	571646	560655	477357	532870	
"Belgium"	261367	281324	253817	302640	343880	312119	369489	546947	622653	545688	433623	531059	
"France"	191673	216233	224324	243748	289611	296932	293218	380686	402694	399160	375615	426291	
"Belarus"	153673	154489	159973	204623	214738	200915	271517	350488	299279	336852	279688	339288	
"Denmark"	222264	228128	221330	175348	164741	187838	196738	221829	300141	255036	230147	251004	
"Poland"	77256	124868	86882	111985	111330	110358	120757	238587	299844	216034	187965	197980	
"United States of America"	120475	166481	124892	236595	178877	62402	68674	95994	117144	91470	75606	150390	
"United Kingdom"	47711	60253	47044	65625	86748	82362	117525	149974	181360	183226	129173	138472	
"Finland"	86400	80213	65864	78323	77585	114827	107470	135896	136729	142838	128984	122282	
"Australia"	107617	84984	117534	127378	118633	78596	67076	52429	52401	54954	47854	79181	
"Italy"	88900	33743	24362	26764	11884	28157	28734	34664	48878	51624	61985	69065	
"Portugal"	65290	47096	51734	51157	44996	56223	52755	72582	70589	51593	48126	63005	
"Argentina"	30780	61432	46091	41080	34084	23316	13773	14790	20411	39099	45956	53612	
"Uruguay"	26847	50015	79009	75957	73825	55364	34817	44083	56851	55801	38459	41822	
"Spain"	100985	59103	43891	51186	42307	43691	42169	51276	43434	43552	27012	39971	
"Ukraine"	1450	3920	1510	14119	15242	23457	25107	102935	102446	60366	36275	37282	
"India"	10805	10178	3294	9598	9429	7775	5992	24914	55061	96624	19943	30131	
"Saudi Arabia"	6138	4877	5305	6765	6709	9019	10076	12632	10952	12602	17231	25068	
"Austria"	5988	6145	7019	7111	8618	15340	17367	19860	20492	21269	17848	22708	
"Lithuania"	9143	10578	16966	23708	36834	21936	34403	25167	26703	17459	24936	20519	
"Kazakhstan"	47	19	125	777	217	17104	847	935	6816	10285	5083	15561	
"Türkiye"	898	1716	1404	3246	2964	1769	1382	5099	2486	19732	8003	13624	
"Iran, Islamic Republic of"	2725	5017	4675	0	1267	1711	2720	3872	4089	197	196	13597	
"Kyrgyzstan"	3909	2136	2742	2384	1855	1654	6902	10905	8012	14247	14865	13283	
"Russian Federation"	3362	3002	9336	6631	7989	7674	8416	7861	7076	5594	10936	10914	
"Czech Republic"	14946	18421	12358	13205	13888	10759	12046	15029	12071	18215	7937	10391	
"Sweden"	14929	5752	7053	11172	4805	2266	2361	5695	14342	6253	8018	10210	
"Luxembourg"	10885	11746	12337	13882	19293	11301	2505	3350	4878	6345	4865	9026	
"Costa Rica"	2229	2150	3267	3628	4172	4925	3402	4921	5067	4983	6172	7131	
"United Arab Emirates"			14062	15600	19703	13139	5043	3517	17060	56714	8915	6610	
"South Africa"	6773	4869	5130	5448	8242	6459	5804	4167	7153	6090	6547	6454	
"Malaysia"	2823	1420	2201	1862	3709	4325	7657	9295	6751	4518	5024	6424	
"Singapore"	6506	9097	13293	15886	19077	18950	14370	8510	8578	10128	5467	6183	
"Slovakia"	4354	5844	5508	7153	7993	9222	5979	5554	6407	4325	4534	5633	
"Hong Kong, China"	3185	3651	3053	3084	3813	4778	5965	5482	5080	6195	3915	5377	
"China"	7188	8249	6165	940	3687	2203	2007	3421	4424	5989	3209	3930	
"Paraguay"	119	42	968	1345	1244	865	402	1654	1667	1899	2563	3657	
"Estonia"	12416	16057	5096	10006	7968	4752	4313	5298	4347	3196	4475	3648	
"Colombia"	426	312	2	186	651	277	2	2077	3524	1029	3269	3509	
"Croatia"	1452	1869	2155	1552	1828	1468	1406	2369	3024	3812	3408	3383	
"Romania"	1060	1245	1077	997	659	847	1003	2163	2583	1040	1442	2329	
"Bahrain"	3	2	2	8	15	268	111	234	312	93	252	2246	
"Honduras"	1669	1231	1116	987	3312	1930	3267	2067	895	1100	2489	2203	
"Bulgaria"	2225	2121	1673	1478	1655	1509	1928	2330	2110	2272	1618	2100	
"Brazil"	11809	2872	1362	931	11603	2229	276	909	584	1663	1253	2074	
"Latvia"	9240	10919	7124	16533	14143	7963	9797	7117	4003	2662	3410	1908	
"Greece"	76	118	187	701	882	479	775	803	1290	1409	1855	1730	
"Serbia"	494	243	772	760	682	865	842	874	950	1129	1036	1582	
"Switzerland"	11331	18026	18049	300	10036	5679	13380	8139	4864	2643	3839	1554	
"Hungary"	2316	2636	1117	1537	1985	819	1254	1168	1279	996	4900	1478	
"Ghana"	25	294	48	131	97	278	208	65	24	58	718	1189	
"Azerbaijan"	0	0	0	286	11	455	409	1667	854	6895	1506	1089	
"Thailand"	115	173	61	27	56	390	427	953	1397	1496	893	1035	
"Tunisia"	0	156	0	0	0	9	17	294	102	0	24	921	
"Iceland"	1550	1699	1693	523	4	15	1213	376	1157	697	720	919	
"Kuwait"	532	345	404	1195	1038	1529	1274	932	1005	84	608	815	
"Armenia"	0	0	0	165	411	74	2	35	71	285	175	690	
"Bolivia, Plurinational State of"	2758	1992	2535	2654	2923	3217	1618	1276	572	665	868	609	
"Uzbekistan"								65	36	199	128	531	
"Slovenia"	2566	2146	1271	334	557	241	232	456	429	398	387	526	
"Uganda"	81	107	415	388	231	173	227	739	312	1050	686	460	
"Indonesia"	439	977	167	270	93	272	283	256	205	188	138	433	
"Kenya"	746	882	632	407	560	299	382	93	57	21	75	397	
"Japan"	20	11	19	26	30	36	44	64	94	121	144	318	
"Canada"	2185	503	1008	7626	469	153	408	356	1732	146	111	276	
"Oman"	474	527	523	1552	2753	3278	417	349	61	70	248	221	
"Philippines"	32	70	20	5	0	14	45	17	8	39	428	188	
"Guyana"	1	1	1	0	0	0	0	0	0	0	0	141	
"Egypt"	188	734	356	442	44	35	95	4	124	356	226	139	
"Georgia"	1010	350	460	708	1375	295	398	420	350	585	373	133	
"Pakistan"	347	1241	397	90	31	32	42	70	128	76	104	131	
"Syrian Arab Republic"	2	189	1	9	3	86	2	4	5	46	80	113	
"El Salvador"	8	66	85	139	22	48	52	60	75	105	118	107	
"Macao, China"	0	0	0	0	0	0	0	58	12	0	0	102	
"Dominican Republic"	631	1261	26	38	14	199	473	253	167	125	74	100	
"Morocco"	240	60	10	27	206	50	380	462	46	27	12	98	
"Panama"	3	7	18	23	19	5	9	11	64	23	25	86	
"Bangladesh"	19	9	19	28		4	22	35	69	4	59	78	
"Viet Nam"	25	83	255	139	23	22	50	75	209	106	51	71	
"Malta"	0	0	0	0	0	0	0	1	0	1	0	69	
"Fiji"	57	70	98	67	230	70	199	145	196	121	120	69	
"Algeria"	0	0	0	0	0	0	0	7		31		61	
"Brunei Darussalam"	6	1	2	8	6	82	89	5	26	33	11	52	
"Zambia"	704	833	776	167	132	3	5	4	140	0	20	47	
"Korea, Republic of"	0	11	16	39	196	26	23	67	80	221	439	41	
"Ecuador"	0	0	0	0	0	41	0	1	0	0	0	39	
"Angola"	0	0	0	0	0	33	4	7	9	172	44	37	
"Macedonia, North"	533	372	131	8	2	123	764	760	174	204	31	37	
"Jordan"	0	0	133	64	20	117	16	96	93	71	300	34	
"Namibia"	300	212	86	48	65	69	31	12	18	108	71	27	
"Zimbabwe"	0	0	0	0	7	0	29	19	0	0	4	25	
"Rwanda"	0	0	0	0	0	2	0	1	0	44	37	25	
"Taipei, Chinese"	46	43	58	50	97	114	33	25	85	41	11	23	
"Trinidad and Tobago"	10	10	19	13	5	37	42	46	26	102	35	23	
"Nepal"	2	6	0	1	12	5	52	14	12	30	96	16	
"Botswana"	1	1	1	1	1	1	1	10	48	115	4	16	
"Senegal"	50	32	9	244	169	78	102	224	129	146	57	15	
"Ethiopia"	52	68	131	64	56	69	82	74	30	23	25	14	
