Importers	2016-M06-Exported quantity, Kilograms	2016-M07-Exported quantity, Kilograms	2016-M08-Exported quantity, Kilograms	2016-M09-Exported quantity	2016-M09-Unit	2016-M10-Exported quantity, Kilograms	2016-M11-Exported quantity, Kilograms	2016-M12-Exported quantity, Kilograms	2017-M01-Exported quantity, Kilograms	2017-M02-Exported quantity, Kilograms	2017-M03-Exported quantity, Kilograms	2017-M04-Exported quantity, Kilograms	2017-M05-Exported quantity, Kilograms	2017-M06-Exported quantity, Kilograms	2017-M07-Exported quantity, Kilograms	2017-M08-Exported quantity, Kilograms	2017-M09-Exported quantity, Kilograms	2017-M10-Exported quantity, Kilograms	2017-M11-Exported quantity, Kilograms	2017-M12-Exported quantity, Kilograms	2018-M01-Exported quantity, Kilograms	
"World"	15531732	18602724	19157524	20217319	Kilograms	16743130	16369578	10045028	9364722	8564324	18076727	20101634	22369388	25931319	19512133	18475652	17327419	12304872	12773197	13642369	11137027	
"United Kingdom"	4506586	8336496	5190412	0	Mixed	5454818	4601639	3484655	3324746	3550010	4446456	3718312	3846068	5271441	4194330	3778993	4690397	3475891	3983699	4658721	3131911	
"Netherlands"	2739400	2485970	4148134	6337775	Kilograms	2383952	2404575	2009885	1097000	638228	2494296	6280923	7662692	8649185	6105870	4966039	2175265	1111803	1671390	2978830	2039615	
"United States of America"	846417	873312	1479427	776658	Kilograms	1121153	1550458	868097	1112124	1073439	1781525	1498544	1715666	1708245	2280292	2388820	1467164	1581248	993392	1176947	1732308	
"Türkiye"	99550	101080	400589	76346	Kilograms	203000	358680	7281	1832	0	308342	250000	150000	156003	329487	475000	400000	135264	200000	518750	885473	
"France"	1361675	1324000	1055950	1269225	Kilograms	1535200	1669700	1322680	1095500	801568	1707642	1337660	1909095	2046022	1639780	1435641	1421345	645750	1026550	990960	845500	
"Morocco"	485000	372500	0	25000	Kilograms	0	0	0	25000	0	110500	12500	0	50000	75000	50000	0	0	0	62700	706250	
"Germany"	1097276	1679450	2717875	3286639	Kilograms	3073514	3220498	902510	1518269	1024541	4932984	4323184	4286885	3960898	1825470	2363359	3494544	2301445	2602690	1520040	537080	
"Belgium"	2163155	1849600	2010055	1374095	Kilograms	2284125	1536100	735680	400210	680160	1320399	1196879	1507334	2352419	1743739	2516894	2602689	2342020	1062340	725440	416959	
"South Africa"	201595	141246	95094	10288	Kilograms	17680	44302	21394	123435	122969	283233	141987	270003	204917	111052	90988	154758	37740	163347	183699	203512	
"Denmark"	10931	0	31996	13133	Kilograms	0	180000	49138	12021	0	9127	12561	1288	10728	0	26107	0	0	475000	25000	125000	
"Saudi Arabia"	0	120000	0	40000	Kilograms	20000	0	0	0	225000	0	275000	20000	119650	25000	0	280000	240825	140000	0	75000	
"Australia"	0	8998	0	8000	Kilograms	8000	10000	0	0	35000	8998	19888	60796	29988	10000	29998	54000	27000	0	94994	70000	
