Importers	2018-M01-Exported quantity, Kilograms	2018-M02-Exported quantity, Kilograms	2018-M03-Exported quantity, Kilograms	2018-M04-Exported quantity, Kilograms	2018-M05-Exported quantity, Kilograms	2018-M06-Exported quantity, Kilograms	2018-M07-Exported quantity, Kilograms	2018-M08-Exported quantity, Kilograms	2018-M09-Exported quantity, Kilograms	2018-M10-Exported quantity, Kilograms	2018-M11-Exported quantity, Kilograms	2018-M12-Exported quantity, Kilograms	2019-M01-Exported quantity, Kilograms	2019-M02-Exported quantity, Kilograms	2019-M03-Exported quantity, Kilograms	2019-M04-Exported quantity, Kilograms	2019-M05-Exported quantity, Kilograms	2019-M06-Exported quantity, Kilograms	2019-M07-Exported quantity, Kilograms	2019-M08-Exported quantity, Kilograms	
"World"	11137027	12622537	17071975	21502623	27442013	29688189	19326164	17500661	16441734	11720681	19328391	19878764	13659676	10918203	14930997	25706033	29650706	30030118	27723141	26575130	
"Netherlands"	2039615	2023325	4224630	8917880	13860668	15808046	6773861	3909105	4578875	2222530	6020724	6780532	2127815	1554128	2304820	10957480	14205439	13182654	8862980	8965796	
"United Kingdom"	3131911	3058463	5255153	3691203	4156204	3783600	3170853	3141582	3478603	2944415	4574284	5804442	3540797	3004572	3925742	3611765	2444063	3347728	5473223	4928946	
"Germany"	537080	2673453	2852075	3769024	3633343	4401024	3036774	3689797	2184049	670909	3700287	2456368	1937380	1707166	2097587	2165315	3931651	4828390	3442823	3651684	
"United States of America"	1732308	1552308	1237315	1543257	1991369	1845254	2563470	3231834	2224555	2441589	1701716	1163085	2299573	1878452	1505990	2892949	3136153	2944042	4329387	3102214	
"Belgium"	416959	974577	1471240	1816341	1619659	1614470	1983439	2021534	2184355	1949984	1279795	941475	1293640	927900	1767705	2137310	2010024	2003204	2164409	2231329	
"France"	845500	456750	826950	1056500	1542571	1795747	1345175	1023250	1120560	1199525	1353450	1744000	1438428	1212650	1667200	2024600	1656750	1855300	1496362	1245166	
"Morocco"	706250	475000	100000	71250	99700	0	0	0	0	0	225000	133870	100000	0	119000	149950	57949	229000	377550	603500	
"Türkiye"	885473	225000	50000	0	4771	0	0	0	2880	0	7828	0	8876	6889	760590	1044928	623650	100000	75000	524750	
"Indonesia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22000	0	0	200000	
"Saudi Arabia"	75000	0	20000	25000	0	0	0	20000	0	0	0	0	0	0	0	0	49166	0	125000	134000	
"Egypt"	25000	70000	0	0	0	0	0	0	0	0	0	0	0	0	0	44000	119000	197500	397000	123750	
"Austria"	0	0	0	0	0	0	0	0	0	17000	0	3525	0	0	0	0	0	0	127500	106450	
"Spain"	66350	98804	60910	47554	75300	56378	61875	23232	39659	54160	127652	192750	383719	142470	205890	83962	132872	176921	147414	104087	
"Uruguay"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100000	
"China"	7380	50000	5760	7260	57260	10680	51160	0	7800	15552	25000	54800	12600	12060	6300	67219	26580	25000	73909	70152	
"United Arab Emirates"	29034	43499	92024	21801	10000	0	6370	10000	10000	10000	0	0	10000	32549	6341	10000	0	10000	35000	68750	
"Australia"	70000	60000	40000	80000	0	0	0	50000	0	8893	0	0	19995	0	0	10000	260000	111000	20000	61875	
"Chile"	0	0	45325	18423	24811	0	25186	23963	0	0	0	0	16787	0	22589	22217	22728	0	19439	48037	
"Denmark"	125000	0	110000	29835	6904	2385	67500	138914	207938	0	16806	0	21280	0	3346	0	300456	373400	20830	45959	
"Philippines"	0	0	0	0	6778	0	0	0	6707	0	0	0	0	0	0	0	8691	0	0	38000	
"South Africa"	203512	240975	186950	208160	75000	4740	0	107120	149000	0	49394	137750	100000	118300	119538	79900	62684	249975	125000	25000	
"Congo, Democratic Republic of the"	20000	23065	25000	0	0	0	0	0	25000	0	0	0	0	24660	0	0	0	0	0	24200	
"Kenya"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23000	
"Bahamas"	18614	24200	21675	24192	22788	20022	20884	22920	22898	21558	0	39559	19668	22538	21801	22700	21588	21763	21429	22068	
"Kuwait"	0	21000	21000	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	22000	
"Poland"	26000	96000	69000	85000	45000	43000	0	44000	88000	22000	110000	337450	110000	44000	36000	0	0	0	66000	22000	
"Taipei, Chinese"	0	50000	0	0	0	0	0	0	0	0	25000	0	25000	25000	25000	50000	0	0	0	20000	
"Congo"	0	0	0	0	20000	0	0	0	0	0	21000	0	0	0	0	12600	0	0	0	16800	
"Malta"	6608	17925	12920	3309	7292	9482	16144	6207	0	6417	7654	20133	16720	34912	24106	12041	4752	2000	10963	14504	
"Bermuda"	8192	0	0	0	12805	0	0	0	0	10674	0	0	0	10785	0	0	0	0	0	7212	
"Mexico"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7091	
"Malaysia"	4026	0	5770	7182	0	5874	4956	0	5441	0	0	3213	0	3156	4898	6630	4026	0	3155	5438	
"Algeria"	0	0	100000	0	0	0	80000	0	0	0	0	0	100000	0	0	0	45800	0	150000	5000	
"Jamaica"	0	6726	0	6109	0	0	0	0	8206	0	0	5075	0	0	0	0	3239	0	0	2344	
"Portugal"	0	1232	2944	3080	3080	2848	0	616	2481	1096	2873	1848	2328	4312	0	0	3264	2502	2856	1232	
"Greece"	3000	2000	0	0	0	0	0	1000	1000	1000	3000	3000	1000	0	1000	1000	1000	0	2000	1000	
"Gibraltar"	2872	0	2284	1144	1412	2016	0	1684	4032	0	480	480	3540	1624	0	2564	480	2324	1536	960	
"Hungary"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	836	
"Japan"	0	0	0	0	426	0	532	0	0	160	0	525	0	0	0	0	22661	0	0	0	
"Jordan"	0	0	0	9320	0	0	0	0	0	0	0	0	9000	0	0	0	0	0	10000	0	
"Iran, Islamic Republic of"	0	0	0	0	100000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Israel"	0	20000	0	0	0	20000	20000	0	0	0	0	0	0	42000	20000	116975	70000	70000	64000	0	
"Italy"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24000	66000	0	18880	0	0	
"Georgia"	22000	0	21975	0	0	0	0	0	0	0	0	0	0	0	0	22000	0	0	0	0	
"Guatemala"	18000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	
"Honduras"	0	0	180000	16250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Hong Kong, China"	0	0	0	0	0	0	0	0	0	0	0	0	0	18350	2880	0	0	0	0	0	
"Angola"	0	0	0	0	0	0	0	0	18454	17110	0	0	0	22373	0	19590	0	0	0	0	
"Cyprus"	15440	26543	0	0	24806	6692	23226	0	42868	23366	28713	0	0	29326	8960	0	26759	0	7671	0	
"Czech Republic"	0	0	0	0	0	0	0	0	0	0	0	22000	0	0	0	0	0	0	0	0	
"Canada"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275000	0	0	0	
