Importers	Exported value in 2011-M09	Exported value in 2011-M10	Exported value in 2011-M11	Exported value in 2011-M12	Exported value in 2012-M01	Exported value in 2012-M02	Exported value in 2012-M03	Exported value in 2012-M04	Exported value in 2012-M05	Exported value in 2012-M06	Exported value in 2012-M07	Exported value in 2012-M08	Exported value in 2012-M09	Exported value in 2012-M10	Exported value in 2012-M11	Exported value in 2012-M12	Exported value in 2013-M01	Exported value in 2013-M02	Exported value in 2013-M03	Exported value in 2013-M04	
"World"	47795	38721	38838	34240	21037	23665	32661	24343	41391	50756	42095	31040	41175	34394	43345	36465	19855	29010	33508	42562	
"United Kingdom"	12017	11254	11223	11682	7792	9236	10665	10502	11405	12613	15304	12322	13783	11343	12743	13170	9693	10802	12010	14554	
"Germany"	19348	12698	12891	12270	6290	7357	12864	5192	9031	12992	7763	6013	12432	11354	11899	11545	1172	8611	8508	8868	
"France"	4166	2949	4116	3095	1085	1843	1939	1987	2474	4483	3219	2150	3877	3433	6306	3807	1991	2206	3170	7330	
"Belgium"	8286	8119	4677	4219	2901	2534	3644	3619	5226	5685	6630	6627	4996	4570	4629	1287	2569	2147	4335	5666	
"Netherlands"	1690	1568	2031	1568	898	945	674	1462	10640	11416	5357	1898	3331	1466	1713	4355	1604	2881	3513	3999	
"United States of America"	903	878	1208	409	882	877	671	582	647	319	757	1005	813	504	386	481	631	639	673	642	
"Algeria"	0	0	0	81	0	0	322	0	0	0	73	0	0	0	69	0	0	0	243	374	
"Spain"	34	24	31	0	56	39	20	78	42	204	80	3	252	222	204	262	42	18	124	189	
"Israel"	0	0	204	0	0	71	0	0	0	177	29	0	0	87	0	0	0	160	0	169	
"Bahamas"	0	89	0	181	87	83	85	0	83	230	0	207	101	0	109	198	0	0	104	102	
"China"	0	66	0	86	11	0	0	33	80	13	51	0	78	0	28	0	109	0	0	96	
"Cyprus"	233	165	216	0	120	300	175	51	0	197	49	102	0	26	345	41	81	151	63	86	
"Malta"	163	0	161	57	58	120	115	50	63	138	67	83	0	78	66	138	69	162	0	72	
"Poland"	0	260	137	259	80	80	136	5	105	78	59	59	211	0	0	69	0	0	0	70	
"South Africa"	308	308	133	0	125	0	129	202	867	810	796	251	102	100	53	199	27	280	302	56	
"Kuwait"	0	0	0	0	0	0	0	0	56	63	0	0	0	0	0	0	0	0	0	51	
"Bermuda"	38	0	0	0	0	0	43	0	0	0	35	0	0	0	31	0	0	0	0	49	
"Greece"	18	45	59	37	0	13	0	0	11	40	16	8	95	41	70	65	59	35	0	47	
"Seychelles"	89	61	0	0	61	0	0	12	0	46	72	16	0	57	0	76	43	0	41	42	
"United Arab Emirates"	0	0	36	0	0	0	0	0	41	0	0	0	0	0	41	0	0	0	20	31	
"Türkiye"	0	0	45	0	36	0	0	0	26	185	19	0	0	14	3907	95	0	47	0	23	
"Egypt"	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	21	0	0	0	21	
"Gibraltar"	17	0	0	18	6	0	26	0	0	0	13	14	0	0	16	6	15	0	0	9	
"Indonesia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
"Iran, Islamic Republic of"	0	0	0	0	0	0	899	0	0	0	399	0	831	0	0	0	827	325	0	0	
"Iraq"	0	0	0	0	0	0	0	0	0	0	519	0	0	0	0	0	0	0	0	0	
"Lithuania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
"Malaysia"	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	
"Italy"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	511	290	0	0	0	
"Kenya"	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	
"Saudi Arabia"	0	0	0	0	0	95	0	0	0	0	0	0	0	53	40	0	0	0	0	0	
"Nigeria"	114	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	
"Norway"	0	0	392	0	0	0	0	0	0	0	0	0	0	743	297	0	0	0	0	0	
"Mauritius"	0	0	0	56	0	0	0	0	52	61	0	0	0	43	69	7	0	0	87	0	
"Taipei, Chinese"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	
"Morocco"	0	0	0	0	0	0	0	0	140	379	0	0	0	0	0	0	0	0	0	0	
"Georgia"	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	
"Czech Republic"	0	0	0	0	0	0	0	0	0	57	60	0	0	0	136	0	0	0	0	0	
"Denmark"	0	0	6	0	0	0	0	6	0	0	34	49	0	0	7	0	0	2	12	0	
"Congo"	0	86	85	0	0	0	86	0	77	0	0	0	81	0	0	0	0	81	0	0	
"Congo, Democratic Republic of the"	0	0	0	0	196	0	93	85	87	0	77	0	77	0	80	0	0	0	0	0	
"Chile"	95	0	200	0	125	0	0	128	0	0	108	91	0	0	0	0	372	0	0	0	
"Bahrain"	0	0	0	0	0	0	0	0	0	19	0	18	0	0	0	9	0	18	10	0	
"Barbados"	0	0	0	0	77	0	0	73	0	0	0	72	0	0	0	0	85	0	0	0	
"Angola"	0	57	0	94	0	0	0	74	0	0	0	44	24	74	0	32	0	0	0	0	
"Austria"	0	0	689	0	0	0	0	0	0	0	0	0	22	5	18	80	0	238	80	0	
"Syrian Arab Republic"	0	0	0	0	0	0	0	0	122	120	60	0	0	0	0	0	0	0	0	0	
"Trinidad and Tobago"	0	0	85	0	0	65	0	56	84	0	110	0	0	43	0	0	53	64	46	0	
"Slovakia"	175	87	87	77	0	0	68	68	0	78	179	0	59	76	71	0	0	0	0	0	
"Zimbabwe"	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	
"Uzbekistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	
"Venezuela, Bolivarian Republic of"	92	0	0	0	93	0	0	0	0	176	0	0	0	0	0	0	114	0	0	0	
"Zambia"	0	0	0	43	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	
"Tanzania, United Republic of"	0	0	0	0	48	0	0	69	0	0	67	0	0	36	0	0	0	64	0	0	
