Importers	Exported value in 2018-M01	Exported value in 2018-M02	Exported value in 2018-M03	Exported value in 2018-M04	Exported value in 2018-M05	Exported value in 2018-M06	Exported value in 2018-M07	Exported value in 2018-M08	Exported value in 2018-M09	Exported value in 2018-M10	Exported value in 2018-M11	Exported value in 2018-M12	Exported value in 2019-M01	Exported value in 2019-M02	Exported value in 2019-M03	Exported value in 2019-M04	Exported value in 2019-M05	Exported value in 2019-M06	Exported value in 2019-M07	Exported value in 2019-M08	
"World"	53791	60728	78126	96685	128100	147396	105155	98374	90976	67613	94964	89419	66666	55314	71508	115170	130521	128199	122735	112667	
"Netherlands"	8446	8304	17445	36316	58038	74610	32576	18460	21314	11414	25710	26598	8802	6343	9433	42553	55687	49234	32636	31473	
"United States of America"	10192	9437	7657	9896	13077	12809	17818	22717	15479	17382	12288	8066	15439	12695	10149	19664	21155	19628	29817	21656	
"United Kingdom"	15244	15422	24454	17728	21390	20269	17292	18279	18993	15716	23090	26009	16795	14308	18784	16537	11297	14666	22424	20535	
"Germany"	2333	11923	11695	14761	15054	17609	13714	17136	11088	3594	16709	11343	8145	8253	9604	8876	16028	19198	13555	14147	
"Belgium"	2524	4894	7589	9499	9469	10485	13381	13127	13676	11759	6889	4442	6414	4691	8915	10204	9426	9534	9921	9531	
"France"	4107	1932	3689	4869	7575	9160	7598	5714	6242	5993	6612	8058	6239	5465	7224	8550	6994	7751	6116	5244	
"Morocco"	3127	2085	426	289	413	0	0	0	0	0	977	584	415	0	484	628	256	961	1482	2255	
"Türkiye"	3576	936	168	0	32	0	0	0	21	0	56	0	63	49	3042	4413	2545	386	284	2055	
"Indonesia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	896	
"Saudi Arabia"	340	0	104	127	0	0	0	97	0	0	0	0	0	0	0	0	214	0	525	591	
"Spain"	368	517	333	300	460	355	376	167	287	266	735	939	1663	632	939	398	614	842	663	529	
"Egypt"	100	329	0	0	0	0	0	0	0	0	0	0	0	0	0	181	492	814	1527	447	
"Uruguay"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	
"Austria"	0	0	0	0	0	0	0	0	0	62	0	13	0	0	0	0	0	0	410	342	
"China"	41	214	22	29	310	62	285	0	42	85	114	258	70	66	36	315	149	108	352	313	
"Chile"	0	0	249	97	146	0	146	134	0	0	0	0	112	0	152	151	156	0	131	312	
"United Arab Emirates"	157	199	437	118	60	0	43	65	62	64	0	0	63	222	43	64	0	65	173	279	
"Australia"	418	350	229	458	0	0	0	316	0	57	0	0	128	0	0	65	1110	505	71	217	
"Bahamas"	118	158	139	158	152	137	142	175	174	166	0	309	154	177	171	179	164	161	163	177	
"Philippines"	0	0	0	0	49	0	0	0	47	0	0	0	0	0	0	0	62	0	0	148	
"Denmark"	541	0	462	123	10	4	408	825	1234	0	48	0	59	0	6	0	1154	1464	57	128	
"Congo, Democratic Republic of the"	89	128	138	0	0	0	0	0	144	0	0	0	0	118	0	0	0	0	0	107	
"South Africa"	917	1003	846	940	398	41	0	601	885	0	322	781	486	590	558	430	307	1083	531	102	
"Malta"	56	133	84	26	57	77	129	55	0	55	61	154	141	293	193	75	35	7	93	98	
"Kenya"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	
"Poland"	158	443	322	413	232	231	0	234	459	30	486	1418	458	189	169	0	0	0	227	88	
"Kuwait"	0	84	94	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	83	
"Taipei, Chinese"	0	224	0	0	0	0	0	0	0	0	145	0	110	145	109	210	0	0	0	81	
"Congo"	0	0	0	0	106	0	0	0	0	0	116	0	0	0	0	56	0	0	0	70	
"Bermuda"	50	0	0	0	88	0	0	0	0	82	0	0	0	87	0	0	0	0	0	60	
"Mexico"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	
"Malaysia"	24	0	39	49	0	41	36	0	42	0	0	23	0	23	37	49	30	0	24	41	
"Algeria"	0	0	459	0	0	0	422	0	0	0	0	0	415	0	0	0	192	0	630	18	
"Jamaica"	0	41	0	38	0	0	0	0	61	0	0	38	0	0	0	0	25	0	0	18	
"Greece"	21	13	0	0	0	0	0	7	7	7	23	23	7	0	7	8	8	0	16	8	
"Portugal"	0	8	21	22	21	21	0	4	18	8	21	14	18	32	0	0	25	18	21	8	
"Gibraltar"	19	0	15	7	9	12	0	11	27	0	3	3	24	11	0	17	3	15	10	7	
"Hungary"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
"Japan"	0	0	0	0	1	0	4	0	0	0	0	4	0	0	0	0	95	0	0	0	
"Jordan"	0	0	0	61	0	0	0	0	0	0	0	0	60	0	0	0	0	0	68	0	
"Iran, Islamic Republic of"	0	0	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Israel"	0	87	0	0	0	87	87	0	0	0	0	0	0	186	98	547	297	295	287	0	
"Italy"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	249	0	52	0	0	
"Georgia"	93	0	98	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	
"Guatemala"	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	
"Honduras"	0	0	704	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Hong Kong, China"	0	0	0	0	0	0	0	0	0	0	0	0	0	102	17	0	0	0	0	0	
"Angola"	0	0	0	0	0	0	0	0	108	104	0	0	0	106	0	96	0	0	0	0	
"Cyprus"	113	197	0	0	186	52	182	0	348	191	233	0	0	244	73	0	219	0	63	0	
"Czech Republic"	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	
"Canada"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1149	0	0	0	
"Cayman Islands"	0	38	0	58	0	49	0	45	0	0	58	0	0	44	0	49	53	0	0	0	
"Sri Lanka"	0	0	0	0	0	0	27	0	0	0	42	0	0	0	0	0	0	0	0	0	
"Bahrain"	6	1484	34	13	18	811	51	0	7	7	0	0	16	16	16	35	0	0	119	0	
"Barbados"	67	0	0	0	0	166	0	0	0	0	0	0	0	0	153	0	0	153	0	0	
"Qatar"	0	41	21	10	16	0	0	47	0	0	59	0	0	60	0	6	0	0	0	0	
"Senegal"	0	0	0	0	0	119	118	0	0	111	118	0	0	0	94	0	0	177	0	0	
"Seychelles"	0	50	0	0	44	54	53	0	0	75	0	54	76	0	22	142	48	0	81	0	
"Singapore"	0	0	36	45	0	41	46	31	0	84	0	39	0	0	29	30	24	137	60	0	
"Oman"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	
"Libya, State of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	50	0	0	0	
"Mauritius"	0	42	0	32	41	0	71	0	41	41	36	23	0	0	0	32	48	0	19	0	
"New Zealand"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	
"Pakistan"	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Tunisia"	220	0	0	0	0	0	0	0	0	0	0	0	0	0	608	0	0	0	0	0	
"Trinidad and Tobago"	236	0	103	119	109	84	138	116	156	247	0	123	0	152	0	250	0	268	164	0	
"Uzbekistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	
"Yemen"	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	
"Zambia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	
"Tanzania, United Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	85	0	0	
"Special categories"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	
