Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771,42239854,43372950,44515793,45667550,46827624
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,523459657,537792950,552530654,567891875,583650827,600008150,616377331,632746296,649756874,667242712,685112705,702976832,720843207,739095988,757846442,776925275,796237676,815796521
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,356337762,366489204,376797999,387204553,397855507,408690375,419778384,431138704,442646825,454306063,466189102,478185907,490330870,502789511,515512883,528457248,541578268,554877844
Albania,ALB,"Population, total",SP.POP.TOTL,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2800251,2790947,2785660,2780047,2774058,2767499
Algeria,DZA,"Population, total",SP.POP.TOTL,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225,45606480,46278751,46922031,47538087,48130008
American Samoa,ASM,"Population, total",SP.POP.TOTL,54849,54310,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035,44273,43914,43544,43161,42773,42384
Andorra,AND,"Population, total",SP.POP.TOTL,71519,70567,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034,79824,80088,80341,80578,80796,80998
Angola,AGO,"Population, total",SP.POP.TOTL,23364185,24259111,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774,35588987,36684202,37804634,38942791,40099526,41274799
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,85695,86729,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219,93763,94298,94816,95319,95803,96266
Arab World,ARB,"Population, total",SP.POP.TOTL,364427661,372351065,380383408,389131555,397922915,406501999,415077960,423664839,432545676,441467739,449228296,456520777,464677844,473258479,481913197,490547950,499101092,507591505
Argentina,ARG,"Population, total",SP.POP.TOTL,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46050112,46333328,46612116,46887212,47159036,47427368
Armenia,ARM,"Population, total",SP.POP.TOTL,2946293,2928976,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469,2777970,2777979,2777003,2775109,2772323
Aruba,ABW,"Population, total",SP.POP.TOTL,100341,101288,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537,106445,106277,106177,106043,105881,105689
Australia,AUS,"Population, total",SP.POP.TOTL,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24594202,24966643,25340217,25655289,25688079,25941598,26194302,26445544,26694308,26939666,27181784
Austria,AUT,"Population, total",SP.POP.TOTL,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,8970982,8985771,8999752,9013377,9025989,9037322
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10195707,10249586,10299933,10347070,10391587,10434001
Bahamas,BHS,"Population, total",SP.POP.TOTL,373272,377950,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906,409984,412623,415223,417790,420306,422785
Bahrain,BHR,"Population, total",SP.POP.TOTL,1213645,1212077,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,1472233,1485509,1498712,1511676,1524461,1537124
Bangladesh,BGD,"Population, total",SP.POP.TOTL,148391139,150211005,152090649,154030139,155961299,157830000,159784568,161793964,163683958,165516222,167420951,169356251,171186372,172954319,174701211,176421509,178106136,179751964
Barbados,BRB,"Population, total",SP.POP.TOTL,274711,275486,276197,276865,277493,278083,278649,279187,279688,280180,280693,281200,281635,281995,282309,282580,282797,282962
Belarus,BLR,"Population, total",SP.POP.TOTL,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9340314,9314187,9273271,9233919,9195571,9158350,9120708
Belgium,BEL,"Population, total",SP.POP.TOTL,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11592952,11621253,11649856,11678376,11705762,11731967,11756837
Belize,BLZ,"Population, total",SP.POP.TOTL,322106,329538,337059,344688,352335,359871,367313,374693,382066,389095,394921,400031,405272,410825,416656,422440,428165,433836
Benin,BEN,"Population, total",SP.POP.TOTL,9445710,9726380,10014078,10308730,10614844,10932783,11260085,11596779,11940683,12290444,12643123,12996895,13352864,13712828,14080072,14454199,14832937,15216009
Bermuda,BMU,"Population, total",SP.POP.TOTL,65124,64564,64798,65001,65138,65237,64554,63873,63918,63911,63893,63867,..,..,..,..,..,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,705516,713331,721145,728889,736357,743274,749761,756121,762096,767459,772506,777486,782455,787424,792382,797335,802260,807152
Bolivia,BOL,"Population, total",SP.POP.TOTL,10223270,10396246,10569697,10743349,10916987,11090085,11263015,11435533,11606905,11777315,11936162,12079472,12224110,12388571,12567336,12746148,12924657,13102178
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3811088,3743142,3674374,3617559,3571068,3524324,3480986,3440027,3400129,3360711,3318407,3270943,3233526,3210847,3194378,3181557,3168378,3154834
Botswana,BWA,"Population, total",SP.POP.TOTL,2091664,2134037,2175425,2217278,2260376,2305171,2352416,2401840,2451409,2499702,2546402,2588423,2630296,2675352,2719694,2763338,2806300,2848644
