Importers	2014-M10-Exported quantity, Kilograms	2014-M11-Exported quantity, Kilograms	2014-M12-Exported quantity, Kilograms	2015-M01-Exported quantity, Kilograms	2015-M02-Exported quantity, Kilograms	2015-M03-Exported quantity, Kilograms	2015-M04-Exported quantity, Kilograms	2015-M05-Exported quantity, Kilograms	2015-M06-Exported quantity, Kilograms	2015-M07-Exported quantity, Kilograms	2015-M08-Exported quantity, Kilograms	2015-M09-Exported quantity, Kilograms	2015-M10-Exported quantity, Kilograms	2015-M11-Exported quantity, Kilograms	2015-M12-Exported quantity, Kilograms	2016-M01-Exported quantity, Kilograms	2016-M02-Exported quantity, Kilograms	2016-M03-Exported quantity, Kilograms	2016-M04-Exported quantity, Kilograms	2016-M05-Exported quantity, Kilograms	
"World"	14668208	12866044	12024213	12802677	11365601	14380144	13255034	12073131	14948353	13646592	13516019	18302931	18660574	20814152	20390254	14694657	16101844	20996422	17162691	14264038	
"France"	5224999	4433858	4567930	4180077	3033382	4254682	4077771	3418799	4331393	2923065	3928992	4598006	4636787	5349326	4963397	4208774	4878025	6129175	5152195	4875754	
"Germany"	2648364	3215647	1767646	3714805	2975902	4355179	2995622	3062728	5141595	4227450	3645487	5122284	4910934	7099818	7998481	4122419	3534679	7305542	4378038	3433275	
"Belgium"	3505761	2462916	3218750	2116553	1751899	2332683	2146076	1918810	2891377	2892311	2788000	3351179	3386734	3689533	3646079	2947153	3325006	3651431	2571053	3373831	
"United States of America"	575221	259250	306676	288848	611207	485406	593274	630430	361182	609400	307829	366100	226250	270260	150430	424965	404805	296175	238795	389500	
"Singapore"	150970	531500	375142	375840	675000	532000	850000	691840	175000	250420	623000	477825	400000	50000	175000	200000	400000	275000	350840	322000	
"Spain"	100328	91626	85399	102622	162997	104536	181246	127646	111341	160424	102275	122295	150599	131508	111405	186985	208976	204913	170357	183384	
"Greece"	117960	93010	57629	83020	66000	84551	170375	138763	132404	62870	58950	140253	160330	139438	163666	86052	117232	125214	164460	140446	
"Syrian Arab Republic"	0	24000	0	0	0	0	24000	50000	74000	149975	24000	50000	50000	0	224525	0	0	0	173000	124950	
"Poland"	32500	89012	112400	112300	147101	175102	118275	147501	36421	5251	118002	194203	182184	72602	28242	68367	60665	77820	88835	123759	
"Morocco"	25000	0	0	110000	10376	0	0	0	22520	0	0	0	0	0	84500	53840	50000	92680	17680	100000	
"Iran, Islamic Republic of"	0	0	0	0	0	50000	0	50000	0	150000	0	250000	275000	100000	325000	0	250000	0	475000	100000	
