Importers	2017-M12-Exported quantity, Kilograms	2018-M01-Exported quantity, Kilograms	2018-M02-Exported quantity, Kilograms	2018-M03-Exported quantity, Kilograms	2018-M04-Exported quantity	2018-M04-Unit	2018-M05-Exported quantity	2018-M05-Unit	2018-M06-Exported quantity, Kilograms	2018-M07-Exported quantity, Kilograms	2018-M08-Exported quantity, Kilograms	2018-M09-Exported quantity, Kilograms	2018-M10-Exported quantity, Kilograms	2018-M11-Exported quantity	2018-M11-Unit	2018-M12-Exported quantity, Kilograms	2019-M01-Exported quantity, Kilograms	2019-M02-Exported quantity	2019-M02-Unit	2019-M03-Exported quantity	2019-M03-Unit	2019-M04-Exported quantity	2019-M04-Unit	2019-M05-Exported quantity, Kilograms	2019-M06-Exported quantity, Kilograms	2019-M07-Exported quantity, Kilograms	
"World"	17265363	16421359	17153310	19507625	15959809	Kilograms	16624517	Kilograms	19955893	16575632	15574347	17567930	20135146	21556675	Kilograms	21781073	18129483	17560926	Kilograms	22016341	Kilograms	22846623	Kilograms	16988457	15884034	21495833	
"Germany"	5637880	4576263	3585683	5609267	1717851	Kilograms	3916999	Kilograms	5588187	5165771	3595819	4497002	5245142	7339152	Kilograms	7659200	5982635	5468441	Kilograms	8754375	Kilograms	9477520	Kilograms	5789862	5405275	6110266	
"France"	5409892	5043462	5796088	5365523	5755822	Kilograms	6409871	Kilograms	6757762	5771495	5379110	6308962	7077582	7251267	Kilograms	7095423	5682746	4864996	Kilograms	5488399	Kilograms	5328878	Kilograms	4514966	4649679	5197156	
"Cyprus"	250139	7659	832319	293606	247673	Kilograms	277948	Kilograms	225965	40052	608252	535	1051	16725	Kilograms	752782	45244	59697	Kilograms	24233	Kilograms	23571	Kilograms	17716	500669	3792720	
"Belgium"	2978374	3689212	3042785	3776863	3162343	Kilograms	2624188	Kilograms	3012238	1978839	2283492	2516160	3452820	3198746	Kilograms	3068631	3009074	2624513	Kilograms	3162717	Kilograms	3243788	Kilograms	3524354	2304416	2306719	
"Japan"	219950	150000	225000	825000	475000	Kilograms	275000	Kilograms	198750	150000	25000	150600	175003	25000	Kilograms	646850	260650	100000	Kilograms	341775	Kilograms	903750	Kilograms	212500	540000	542000	
"Indonesia"	0	61318	210782	233058	233556	Kilograms	0		0	0	315757	153545	94386	0		0	151394	93583	Kilograms	196923	Kilograms	115574	Kilograms	151394	165427	511318	
"Singapore"	362000	187000	233720	392330	532000	Kilograms	152320	Kilograms	214500	340000	215250	247000	174225	322250	Kilograms	426250	128100	348973	Kilograms	220000	Kilograms	328392	Kilograms	492000	68000	495000	
"United Kingdom"	791989	598593	831745	869728	1002336	Kilograms	881029	Kilograms	1234077	1115922	1313704	1382767	1383372	868293	Kilograms	353530	393436	1487768	Kilograms	792838	Kilograms	678937	Kilograms	113164	1430	418883	
"Italy"	161704	215998	160146	71334	128588	Kilograms	68386	Kilograms	376901	217293	141583	281568	610446	649706	Kilograms	246189	391972	646104	Kilograms	679230	Kilograms	633756	Kilograms	373475	509352	404826	
