Importers	2019-M07-Exported quantity, Kilograms	2019-M08-Exported quantity, Kilograms	2019-M09-Exported quantity, Kilograms	2019-M10-Exported quantity, Kilograms	2019-M11-Exported quantity, Kilograms	2019-M12-Exported quantity, Kilograms	2020-M01-Exported quantity, Kilograms	2020-M02-Exported quantity, Kilograms	2020-M03-Exported quantity, Kilograms	2020-M04-Exported quantity, Kilograms	2020-M05-Exported quantity	2020-M05-Unit	2020-M06-Exported quantity	2020-M06-Unit	2020-M07-Exported quantity	2020-M07-Unit	2020-M08-Exported quantity, Kilograms	2020-M09-Exported quantity, Kilograms	2020-M10-Exported quantity, Kilograms	2020-M11-Exported quantity, Kilograms	2020-M12-Exported quantity, Kilograms	2021-M01-Exported quantity, Kilograms	2021-M02-Exported quantity, Kilograms	
"World"	21495833	16180454	20849485	22509703	21300436	23446793	22218255	20867027	24634077	16289519	20418488	Kilograms	20298655	Kilograms	20313578	Kilograms	21919630	24815060	23279830	22569413	21024359	18323333	17764321	
"Germany"	6110266	5172065	8513292	7710753	6363399	7510416	9610006	7011428	9075906	5848707	5360023	Kilograms	7751890	Kilograms	8027755	Kilograms	8703921	9308445	7926834	8554588	9378644	6780201	5491608	
"France"	5197156	4726640	4745696	5679420	5947549	5416395	5728129	5763352	6370108	3403852	6240888	Kilograms	5488221	Kilograms	5230519	Kilograms	6003899	6414011	6696072	5456406	4595412	4315334	4605594	
"Belgium"	2306719	2594001	2652183	3283137	3129438	2886733	2770543	2782333	2806150	1870316	3672692	Kilograms	3073764	Kilograms	2112397	Kilograms	3530589	3321171	3761783	3337198	2898442	3076650	3438456	
"Italy"	404826	412170	834856	598533	734317	443699	439668	640127	480471	335276	547066	Kilograms	457851	Kilograms	374224	Kilograms	424732	795736	541181	704740	350736	504015	593433	
"Poland"	115880	221545	351565	809693	507861	491739	205939	400386	290439	337521	194556	Kilograms	268979	Kilograms	313660	Kilograms	419243	817177	765940	831622	539669	457220	576168	
"China"	287495	111770	143400	219716	217715	175520	188510	148460	25700	242684	336250	Kilograms	321630	Kilograms	413376	Kilograms	400310	185829	409945	280728	141620	223241	487290	
"Cyprus"	3792720	1035	16402	26039	26831	4051	19255	224139	24737	677	654	Kilograms	50609	Kilograms	76764	Kilograms	2	2395	2118	4566	3759	503056	307025	
"United States of America"	0	0	1970	35840	36980	550386	423634	792031	1397677	1287562	363314	Kilograms	0		0		0	4800	18000	1140	0	376201	279480	
"Lithuania"	18858	8	117	22878	154	384	44459	21879	25575	42843	197725	Kilograms	179371	Kilograms	103030	Kilograms	77285	67891	39242	6446	47299	117405	250228	
"Spain"	219579	167867	252077	262680	377145	257975	256483	314980	306979	66977	247021	Kilograms	313748	Kilograms	312058	Kilograms	262551	338054	283299	333473	198814	230555	209484	
"Singapore"	495000	187750	190000	672500	185500	450000	90500	83000	303507	504625	224750	Kilograms	245000	Kilograms	322500	Kilograms	322750	144000	269700	193203	304375	210550	169450	
"Romania"	47198	41243	90234	65007	178012	132045	59	107683	42801	86045	97048	Kilograms	76222	Kilograms	3975	Kilograms	147651	129730	56043	194676	160947	108335	131428	
"Türkiye"	16050	63100	242000	132300	604627	999211	105260	205300	624200	143250	102000	Kilograms	2750	Kilograms	114050	Kilograms	1000	300	2700	150848	87050	4000	107280	
"Indonesia"	511318	429789	105807	418844	93583	0	94386	94386	217361	213772	81012	Kilograms	0		282000	Kilograms	163367	165461	293288	146548	0	247396	105842	
"Korea, Republic of"	8554	22000	26600	1465	8864	26508	22200	97678	1441	3700	19787	Kilograms	61897	Kilograms	49864	Kilograms	55879	33184	39600	36010	39850	31776	79130	
"Bulgaria"	13375	0	45743	65161	108558	96121	126467	2445	24476	96919	11200	Kilograms	39086	Kilograms	23517	Kilograms	51069	98097	76296	119924	65545	133625	67903	
"Lebanon"	28030	26900	50599	25500	25000	0	25000	0	75000	0	0		0		450	Kilograms	0	50000	25212	24450	0	50740	66096	
"Austria"	93137	103418	140882	106022	41122	36179	127341	92078	53738	88551	105162	Kilograms	29040	Kilograms	77086	Kilograms	46534	118111	73999	120530	38553	55845	64855	
"Greece"	82755	59825	167530	118289	274218	137278	117041	208842	113021	42119	97157	Kilograms	166874	Kilograms	142459	Kilograms	186934	194982	185555	178085	151507	134828	59359	
"Denmark"	77572	25638	262218	270874	360188	582966	399937	216303	312019	142058	61399	Kilograms	127079	Kilograms	294857	Kilograms	301067	203129	166706	169335	243890	54261	57342	
"Hungary"	24365	42012	26166	46234	92256	54031	115178	83025	197529	40470	13279	Kilograms	5094	Kilograms	52417	Kilograms	74170	77172	93791	74874	48580	71872	55032	
"Czech Republic"	53	101	20882	48546	24738	49513	26058	26071	28771	8715	31483	Kilograms	44613	Kilograms	15868	Kilograms	27024	32893	33201	67414	23120	41375	51971	
"Egypt"	0	200000	83864	150000	484396	140000	131945	200000	0	199825	175000	Kilograms	150000	Kilograms	350000	Kilograms	25000	67475	53809	162000	0	50000	50000	
"Syrian Arab Republic"	197000	25000	50000	124000	25000	73000	0	133000	124925	120000	150000	Kilograms	100000	Kilograms	50000	Kilograms	0	44800	0	0	75000	0	50000	
"Saudi Arabia"	0	25003	125000	25200	101525	25000	0	113498	175072	274950	425000	Kilograms	0		25000	Kilograms	25002	50000	25000	0	25000	25000	50000	
"Latvia"	345	609	634	442	537	524	324	261	67	555	345	Kilograms	321	Kilograms	479	Kilograms	335	1991	163	117	106191	23870	44212	
"Malaysia"	896	15388	17576	29688	4590	2352	51319	1112	71545	16639	38640	Kilograms	32760	Kilograms	392	Kilograms	784	40300	18784	26580	784	10500	25900	
"Japan"	542000	127800	49975	137500	125000	538335	45000	196000	143000	308000	123000	Kilograms	318500	Kilograms	174500	Kilograms	61500	269500	49000	0	75000	49000	25000	
"Jordan"	0	0	25000	0	0	0	24440	24750	50000	0	0		0		0		49695	0	0	0	24975	0	25000	
"Qatar"	51	106	197	141	160	208	22237	210	25161	394	25850	Kilograms	461	Kilograms	465	Kilograms	620	630	64	25000	0	25000	25000	
"Cameroon"	0	0	0	0	0	0	0	0	0	0	0		0		0		0	0	0	0	0	0	23500	
"Switzerland"	0	0	649	0	37110	20060	153	62000	59950	0	0		0		129000	Kilograms	128000	349200	284000	682000	714900	42050	21600	
"Senegal"	0	1875	0	24125	7960	0	20125	44675	0	0	21875	Kilograms	0		41200	Kilograms	0	25000	23750	22000	21400	20825	21425	
"Israel"	10000	0	0	600	14930	0	936	8000	0	0	25101	Kilograms	0		1060	Kilograms	22500	25000	14327	62045	30549	0	20667	
"Sweden"	25813	65473	23127	40915	47614	24446	69416	47339	58343	14439	52369	Kilograms	42733	Kilograms	20340	Kilograms	17601	31519	52751	15050	14813	29616	20367	
"Iraq"	12932	29551	706	21028	4269	1000	8002	5256	90	959	20512	Kilograms	33276	Kilograms	10490	Kilograms	436	0	464	6583	1178	5699	19990	
"Taipei, Chinese"	20000	39835	61140	132500	101600	22500	181140	70700	45100	61820	101452	Kilograms	64930	Kilograms	125460	Kilograms	28640	0	58226	93635	31500	91700	17710	
"Ireland"	659	445	817	461	22531	267429	25127	4996	59888	1937	22013	Kilograms	43291	Kilograms	51236	Kilograms	3519	117545	192326	23803	211023	26556	14026	
"Morocco"	0	86325	0	94000	163000	643700	80000	193700	235000	214675	159000	Kilograms	177000	Kilograms	118000	Kilograms	0	0	0	66000	74060	8000	13620	
"Curaçao"	400	800	800	4004	2500	1572	3110	2814	2400	2415	7934	Kilograms	2593	Kilograms	7600	Kilograms	3300	5485	1008	1807	4270	4403	8410	
"Slovenia"	1085	132	434	605	10	5	2974	2666	2130	3087	2234	Kilograms	20394	Kilograms	3343	Kilograms	3170	298	24525	3233	4599	1089	4987	
"Aruba"	2939	2918	6137	4111	7147	3484	8826	3427	5238	4119	2145	Kilograms	2030	Kilograms	3595	Kilograms	2876	3900	2362	5264	6988	5563	4741	
"United Kingdom"	418883	342390	856814	344975	456646	416555	221538	248986	216577	25826	105601	Kilograms	84560	Kilograms	183711	Kilograms	123697	966444	582593	297971	84026	1947	3430	
"Bonaire, Sint Eustatius and Saba"	3412	276	992	3128	4525	1513	3438	2807	3607	193	1459	Kilograms	1487	Kilograms	1916	Kilograms	1731	500	432	2812	1369	1588	3187	
"Sierra Leone"	588	0	550	0	0	0	1150	100	0	1800	100	Kilograms	430	Kilograms	0		0	0	2220	0	0	830	2513	
"Malta"	1614	1323	1956	5361	2569	1451	6047	10	5208	1066	95	Kilograms	79	Kilograms	3336	Kilograms	1882	275	2805	5142	1281	905	2366	
"Suriname"	3600	4560	5776	1630	6220	0	2040	8980	7480	2200	0		0		6360	Kilograms	0	2160	2480	4680	3020	4060	2260	
"Special categories"	0	2356	0	10335	7909	5236	1160	960	1040	0	0		226	Kilograms	336	Kilograms	224	243	308	318	680	44660	1748	
"Chad"	0	0	0	0	2000	0	1680	0	0	0	1500	Kilograms	0		0		0	0	0	0	0	0	1200	
"Mali"	7379	4270	2570	332	1362	0	2315	1000	600	2305	1500	Kilograms	2495	Kilograms	0		0	1266	210	1120	450	120	1014	
"Cambodia"	0	0	0	0	0	0	0	0	0	0	0		0		0		0	0	0	0	0	0	784	
"Portugal"	65839	149785	192579	73098	68460	66709	1475	29664	8812	14387	35463	Kilograms	90255	Kilograms	204848	Kilograms	18093	55413	4942	22409	5649	5500	641	
"Norway"	0	4264	122	0	115	41650	0	8118	0	0	0		0		290	Kilograms	200	550	0	565	150	861	550	
"Congo"	1050	0	0	0	1500	1000	2000	0	1500	0	1200	Kilograms	0		550	Kilograms	0	0	0	0	1400	980	550	
"Gambia"	532	675	700	1876	2149	750	1800	950	1950	550	350	Kilograms	200	Kilograms	0		250	1800	0	0	0	0	480	
"Canada"	0	0	0	0	0	0	0	1000	0	0	0		0		0		0	0	600	0	0	0	402	
"Gibraltar"	310	0	200	145	200	0	300	0	253	160	0		0		200	Kilograms	0	100	380	237	0	130	365	
"Croatia"	296	229	320	334	16004	551	321	337	25227	524	529	Kilograms	316	Kilograms	262	Kilograms	397	1049	288	610	320	2220	359	
"Luxembourg"	117	435	134	395	393	441	284	326	181	477	330	Kilograms	430	Kilograms	473	Kilograms	485	757	1632	578	986	10	348	
"Equatorial Guinea"	190	1570	750	1020	200	580	540	290	890	0	295	Kilograms	350	Kilograms	160	Kilograms	0	100	570	220	0	2380	340	
"Côte d'Ivoire"	0	0	0	0	0	0	0	0	2100	23440	0		0		0		21000	0	0	0	0	21000	250	
"Somalia"	980	130	430	0	560	338	230	3000	3000	770	0		220	Kilograms	160	Kilograms	0	840	450	0	277	580	247	
"Serbia"	0	0	0	0	140	336500	140	0	0	0	202500	Kilograms	67500	Kilograms	0		0	0	0	0	0	0	150	
"Congo, Democratic Republic of the"	700	0	400	0	0	0	230	0	0	0	450	Kilograms	0		0		0	0	400	0	0	200	140	
"Eritrea"	0	0	0	700	300	0	0	0	0	600	0		0		0		0	0	0	0	0	0	120	
"Cuba"	0	0	0	0	0	0	0	0	6400	0	0		0		0		0	0	0	0	0	0	96	
"Slovakia"	2345	7	1511	98	51	151	1486	68	132	21128	0	Mixed	0	Mixed	2202	Kilograms	0	45	145	35	185	22329	69	
"Estonia"	21	10	14	23	41	32	931	51	10059	46	11	Kilograms	42	Kilograms	0	Mixed	10	165	38	25	12477	85	3	
"Finland"	No Quantity	40	64	6	3	11	544	548	61	7	14	Kilograms	2	Kilograms	676	Kilograms	0	791	588	70	335	0	0	
"Ethiopia"	0	0	0	1100	0	0	0	0	0	0	0		0		0		0	0	0	0	0	0	0	
"Palestine, State of"	0	0	0	0	0	0	0	0	0	0	0		0		0		0	0	16896	0	0	0	0	
"Gabon"	0	12000	0	0	0	0	0	0	0	0	8800	Kilograms	0		0		0	0	0	0	0	0	0	
"Georgia"	0	25000	0	25000	0	25000	0	25000	50000	0	25000	Kilograms	69000	Kilograms	25000	Kilograms	0	0	0	0	0	0	0	
"Comoros"	0	0	1000	0	0	0	770	0	0	0	0		0		770	Kilograms	0	0	0	0	0	1540	0	
"Cabo Verde"	0	230	0	0	228	0	340	13464	0	0	0		0		13464	Kilograms	0	0	0	0	13464	0	0	
"Central African Republic"	2750	820	750	1050	0	800	0	0	0	0	0		500	Kilograms	4330	Kilograms	200	0	0	0	0	0	0	
"Myanmar"	0	0	0	0	0	0	0	0	0	0	0		24750	Kilograms	0		0	0	0	0	0	0	0	
"Bahrain"	0	0	0	0	0	0	0	15828	121010	100000	100980	Kilograms	0		39290	Kilograms	0	0	0	0	0	0	0	
"Bangladesh"	0	0	0	0	0	800	0	800	0	0	0		0		500	Kilograms	0	0	0	0	784	0	0	
"Bosnia and Herzegovina"	0	0	120	0	0	0	120	0	0	0	0		0		0		0	0	0	0	0	0	0	
"Afghanistan"	734	182	3312	250	0	5218	0	0	0	0	0		0		0		0	0	0	0	0	5363	0	
"Algeria"	0	0	0	0	0	20000	0	0	198800	0	0		0		72975	Kilograms	0	0	0	0	0	0	0	
"Antigua and Barbuda"	0	384	0	392	0	392	384	0	0	0	0		0		0		0	0	784	0	392	0	0	
"Azerbaijan"	0	0	0	0	0	0	300	25000	0	0	25000	Kilograms	25000	Kilograms	0		0	0	0	1000	0	0	0	
"Australia"	0	22000	6400	0	0	6400	22890	0	0	50400	44000	Kilograms	66007	Kilograms	44000	Kilograms	44000	0	45760	0	0	0	0	
"Jamaica"	0	0	16800	0	0	0	0	0	0	0	0		0		0		0	0	0	0	0	0	0	
"Kenya"	0	120	0	0	0	0	0	0	0	0	0		0		360	Kilograms	0	0	0	0	0	0	0	
"Lao People's Democratic Republic"	0	350	0	0	0	0	0	0	0	0	0		0		0		0	0	0	0	0	0	0	
"Ghana"	916	0	0	300	170	0	0	0	0	530	0		0		300	Kilograms	1000	0	580	300	1200	0	0	
"Guinea"	0	0	0	0	0	2470	0	890	1440	0	130	Kilograms	1600	Kilograms	0		320	210	0	0	1505	0	0	
"Guyana"	0	0	255	0	0	0	0	0	0	293	0		0		0		0	0	154	0	0	0	0	
"Hong Kong, China"	0	784	1568	1568	0	0	784	0	0	3136	1568	Kilograms	0		784	Kilograms	784	0	785	0	34259	0	0	
"Maldives"	0	0	0	0	0	0	25000	0	840	0	0		0		0		0	0	840	0	0	25400	0	
"Liberia"	165	200	0	0	310	0	0	0	0	160	0		0		0		0	1540	0	0	0	0	0	
"Libya, State of"	0	0	0	304	0	200	0	0	100	0	418	Kilograms	0		0		0	0	550	0	0	0	0	
"Mauritania"	0	2300	0	0	1000	0	0	1700	0	1500	0		0		0		0	0	1200	0	0	1300	0	
"Mauritius"	0	0	0	0	362	0	100	19320	1200	0	0		0		0		300	0	0	0	0	0	0	
"Mexico"	8000	0	0	0	0	0	0	0	0	0	0		0		0		0	0	0	5276	0	0	0	
"Mozambique"	0	80	0	0	0	0	130	0	0	200	0		0		0		0	0	0	0	0	0	0	
"Oman"	0	47	0	0	0	25000	51	74	38	0	125	Kilograms	0		0		35	0	0	0	0	0	0	
"Viet Nam"	3968	16000	22000	24160	0	0	0	0	0	0	0		0		0		0	0	0	0	0	0	0	
"South Africa"	0	275000	0	0	12800	0	0	0	22500	0	0		0		0		0	0	0	0	0	0	0	
"Sudan"	0	0	0	0	0	0	0	0	0	0	0		0		0		0	1320	335	0	0	0	0	
"Ship stores and bunkers"	98612	100734	103914	4262	4572	4720	4688	4186	1762	0	0		0		439	Kilograms	152	0	0	0	0	0	0	
"Uganda"	0	0	0	0	0	100	0	0	0	0	0		0		0		0	0	0	0	0	0	0	
"Ukraine"	0	103600	90914	352500	166300	414400	250812	0	0	0	504000	Kilograms	168000	Kilograms	125250	Kilograms	0	0	0	0	20020	20000	0	
"Thailand"	0	46000	0	23000	23000	0	23000	23000	0	0	0		0		5600	Kilograms	0	0	0	0	0	0	0	
"United Arab Emirates"	200000	0	200000	200000	0	0	21000	210	0	0	0		0		50000	Kilograms	0	200000	0	0	100000	11250	0	
"Tunisia"	0	0	0	22500	0	0	0	0	74850	0	0		0		69000	Kilograms	113000	44000	44000	44000	0	0	0	
"Rwanda"	0	0	0	0	0	0	0	0	0	0	0		0		490	Kilograms	0	0	0	0	0	0	0	
"Sao Tome and Principe"	0	0	0	0	0	0	0	0	0	0	0		0		0		0	0	100	0	0	0	0	
"Panama"	120	0	0	380	380	0	380	0	0	0	0		0		400	Kilograms	0	0	0	0	0	0	0	
"Philippines"	4368	9000	6400	0	30400	0	6400	0	6400	0	0		0		0		0	0	0	0	0	0	0	
"Niger"	0	1000	0	0	0	0	0	0	500	0	0		0		0		0	0	0	0	0	500	0	
"Nigeria"	0	1600	702	500	1002	900	0	0	1025	0	0		400	Kilograms	0		0	250	0	0	0	0	0	
"Sint Maarten (Dutch part)"	0	0	0	0	463	0	0	0	0	0	0		0		0		1120	0	840	0	0	116	0	
"Burkina Faso"	3150	0	3110	0	0	2000	120	0	3000	7350	0		2660	Kilograms	0		17660	0	4825	0	0	0	0	
"Uzbekistan"	0	20500	0	0	0	0	0	0	0	0	0		0		0		0	0	0	0	0	0	0	
