Importers	2021-M02-Exported quantity, Kilograms	2021-M03-Exported quantity, Kilograms	2021-M04-Exported quantity, Kilograms	2021-M05-Exported quantity, Kilograms	2021-M06-Exported quantity, Kilograms	2021-M07-Exported quantity, Kilograms	2021-M08-Exported quantity, Kilograms	2021-M09-Exported quantity	2021-M09-Unit	2021-M10-Exported quantity, Kilograms	2021-M11-Exported quantity, Kilograms	2021-M12-Exported quantity, Kilograms	2022-M01-Exported quantity, Kilograms	2022-M02-Exported quantity, Kilograms	2022-M03-Exported quantity, Kilograms	2022-M04-Exported quantity, Kilograms	2022-M05-Exported quantity, Kilograms	2022-M06-Exported quantity, Kilograms	2022-M07-Exported quantity, Kilograms	2022-M08-Exported quantity, Kilograms	2022-M09-Exported quantity, Kilograms	
"World"	17764321	23579199	24127786	18799970	19245556	19457211	21396645	22227690	Kilograms	24410568	30803136	33145905	16889387	22735529	22434397	22798328	22277683	22887401	18861441	19854574	22490541	
"Germany"	5491608	10331687	11597521	6895939	7489531	7399693	6694765	7276884	Kilograms	9109317	12764681	17059502	4759191	10400347	7769803	8671633	8924087	8755033	5864519	8472461	10462072	
"France"	4605594	5147730	5198267	5301655	5379087	5469687	6126581	6504677	Kilograms	6343295	6923926	6548859	4845296	4346613	5150724	5798929	5341501	7101355	6032435	4796995	5011387	
"Belgium"	3438456	2730974	3006674	2233599	2386015	2601895	3232927	3296082	Kilograms	3479292	3448565	3715253	2699012	3004588	3829293	3358847	2784620	2340921	2390801	2061619	2506434	
"Italy"	593433	464486	286949	143481	401789	275215	493070	616577	Kilograms	855392	1242165	369174	522021	419128	591235	635466	453086	366431	571396	360623	924735	
"Spain"	209484	399616	440150	338239	357977	475928	448518	517779	Kilograms	543344	393776	605774	605774	536099	742846	707491	969456	721312	511524	634086	638826	
"Poland"	576168	377530	337152	189597	211580	251999	120359	378030	Kilograms	851433	1001212	550030	241864	196453	284424	249776	244530	373690	179689	89382	373818	
"Switzerland"	21600	285700	162750	64175	104100	205600	191100	292825	Kilograms	21600	147175	213500	85500	123750	149493	90300	106000	101800	145250	275875	316025	
"Indonesia"	105842	396965	90086	0	255832	127380	147036	168756	Kilograms	147355	0	0	689462	729094	377414	363146	0	0	540228	536916	277277	
"Austria"	64855	72475	81900	81100	87325	99638	60530	176048	Kilograms	234555	289058	150746	99296	99678	266829	158161	152795	212698	105371	57191	262557	
"United States of America"	279480	543012	1031033	113868	763167	736344	603903	218552	Kilograms	348521	2067166	1433267	253000	743565	471706	250776	486458	539838	614229	527284	186075	
"Romania"	131428	131201	76941	2620	5638	64412	20254	173660	Kilograms	264735	360035	123151	199917	159904	52506	48916	180391	195355	135291	192446	168937	
"Singapore"	169450	420746	7255	240840	105750	343701	236988	212075	Kilograms	319400	208245	294000	161825	50000	262200	163450	135000	322250	204200	205501	158025	
"Greece"	59359	173490	162152	132478	171870	253156	108326	252678	Kilograms	150871	161093	126247	80079	107266	173764	181200	153852	156527	205352	182178	139044	
"China"	487290	447218	649214	97400	166800	347611	158600	258410	Kilograms	17710	53040	163320	370473	244544	317985	202519	324590	269770	16000	30510	111950	
"Denmark"	57342	101202	15713	74504	188408	44772	379691	158511	Kilograms	218207	160117	174691	200581	145626	171304	91923	216140	120306	172247	286201	108997	
"Taipei, Chinese"	17710	190496	76500	22500	151810	62710	53627	45000	Kilograms	23925	7406	0	45010	0	111820	99570	196750	19872	0	0	82645	
"Ireland"	14026	43348	41027	33051	111895	7270	16560	48687	Kilograms	134555	242327	220299	26579	42367	72467	39593	72081	67926	52607	49821	81866	
"Bulgaria"	67903	50812	46529	25734	46616	23376	49017	112734	Kilograms	71334	66591	46114	31780	33207	22066	91641	55272	33328	42804	1153	72981	
"Portugal"	641	6461	7139	2139	984	1174	2656	3799	Kilograms	1880	2881	24637	4373	2170	28192	112809	146335	88488	235696	169770	54695	
"Saudi Arabia"	50000	50000	70000	0	69000	50000	0	75000	Kilograms	25000	25000	25000	0	50000	100000	75000	25000	50000	0	25000	50000	
"Syrian Arab Republic"	50000	25000	0	0	0	0	0	0		0	48000	0	41000	50000	72750	50000	0	73000	0	0	50000	
"Jordan"	25000	18000	25000	50000	49750	0	25000	0		25000	25000	0	25000	25000	0	41000	33438	0	0	0	50000	
