Importers	Exported value in 2010-M01	Exported value in 2010-M02	Exported value in 2010-M03	Exported value in 2010-M04	Exported value in 2010-M05	Exported value in 2010-M06	Exported value in 2010-M07	Exported value in 2010-M08	Exported value in 2010-M09	Exported value in 2010-M10	Exported value in 2010-M11	Exported value in 2010-M12	Exported value in 2011-M01	Exported value in 2011-M02	Exported value in 2011-M03	Exported value in 2011-M04	Exported value in 2011-M05	Exported value in 2011-M06	Exported value in 2011-M07	Exported value in 2011-M08	
"World"	29243	28648	32468	33175	34568	31368	37546	28865	43382	39878	48888	57779	32752	35136	40587	33298	39715	38607	32573	36435	
"Belgium"	3005	3437	5429	5311	8753	9468	11405	6046	7641	6745	8301	14656	7747	10876	10499	8388	14043	9973	9212	12861	
"France"	6139	6365	6377	8089	6796	5015	5909	6186	11331	9218	12643	13553	7847	7999	9203	7518	9359	12808	9145	9892	
"Germany"	7772	6484	7723	6396	7323	6736	7978	8613	13740	12109	11585	15001	10967	8705	12470	7081	8391	6581	7595	7548	
"Singapore"	1670	0	673	787	923	1686	1311	1201	1054	88	1534	2483	352	1505	1222	1485	203	2041	309	841	
"Italy"	529	342	465	361	393	326	666	132	477	139	918	674	291	271	369	26	377	471	812	826	
"United Kingdom"	910	2655	762	1340	272	568	734	573	299	1175	40	1358	159	98	382	502	103	192	116	655	
"Japan"	0	0	73	671	826	509	752	0	74	0	74	190	0	762	1931	2941	506	1026	0	622	
"Spain"	299	3847	438	364	278	253	2476	264	637	326	844	276	381	280	471	399	595	280	454	615	
"Greece"	213	197	434	535	244	375	288	354	527	519	309	396	515	398	492	550	439	460	742	453	
"Hungary"	331	324	269	179	246	339	345	291	311	305	406	384	308	271	387	436	244	412	419	312	
"Syrian Arab Republic"	147	133	703	548	418	591	748	188	484	564	580	1430	189	186	186	0	0	109	86	193	
"Egypt"	241	188	960	1384	697	910	1371	86	86	164	78	149	155	0	0	0	0	74	167	166	
"Jordan"	228	3	142	0	40	82	16	0	98	4	8	81	113	9	68	0	0	0	0	150	
"Cyprus"	0	108	0	0	49	21	0	0	14	138	185	0	0	5	0	42	0	0	0	141	
"Lebanon"	203	0	212	410	138	89	288	0	8	279	382	189	272	196	3	4	204	109	9	121	
"Austria"	326	10	245	275	704	703	130	134	583	334	564	326	524	295	446	810	501	1048	109	112	
"Azerbaijan"	0	70	0	104	77	0	1	0	0	0	94	0	0	76	0	0	0	0	0	106	
"Saudi Arabia"	850	274	277	387	670	143	658	44	1251	197	218	0	98	95	5	110	223	0	79	105	
"China"	53	0	0	46	53	54	54	0	53	53	145	53	0	87	0	0	0	0	0	104	
"Indonesia"	0	1039	817	522	349	953	585	0	477	679	575	0	365	1166	693	1645	1142	1165	744	97	
"Korea, Republic of"	63	74	5	57	84	9	143	6	99	15	12	0	29	12	8	14	9	0	9	95	
"United States of America"	179	361	431	185	700	388	59	69	255	972	740	296	610	635	393	170	0	0	0	72	
"Denmark"	44	34	38	139	57	71	256	85	125	36	83	31	39	106	47	148	67	100	55	69	
"Mauritius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	
"Taipei, Chinese"	102	119	270	144	339	99	0	0	125	167	0	404	233	212	82	112	80	104	0	22	
"Congo, Democratic Republic of the"	11	2	1	2	0	1	2	3	1	0	5	0	0	0	4	119	3	117	0	20	
"Suriname"	0	0	2	8	7	9	0	3	0	4	0	0	7	5	19	0	53	1	3	20	
"Malaysia"	0	2	0	16	43	0	0	32	5	0	16	0	38	4	0	4	0	27	6	18	
"Ship stores and bunkers"	1	1	1	2	0	84	93	89	17	0	0	0	1	5	6	5	7	14	13	17	
"Sudan (before 2012)"	5	20	9	2	0	7	72	4	5	9	10	9	21	0	12	3	7	0	0	15	
"Netherlands Antilles"	18	25	1	14	7	14	10	39	32	10	38	15	9	13	9	12	15	20	30	11	
"Aruba"	55	0	39	36	8	4	46	23	8	5	37	14	47	17	46	29	43	35	5	11	
"Portugal"	0	8	0	8	0	20	8	0	9	0	8	0	10	0	102	0	9	0	11	10	
"Sierra Leone"	0	9	0	1	0	0	3	0	19	11	0	7	0	13	0	15	0	0	7	9	
"Chad"	3	3	0	0	0	4	0	16	0	0	0	0	3	16	0	0	0	13	0	8	
"United States Minor Outlying Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	
"Slovenia"	0	0	26	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	
"Gabon"	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	6	2	0	6	
"Türkiye"	98	84	1680	2048	1724	458	119	86	441	853	1293	1602	102	221	104	127	99	90	223	4	
"Cambodia"	0	13	0	0	0	0	0	0	0	0	0	0	2	0	9	0	13	0	0	3	
"Canada"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
"Afghanistan"	25	29	35	7	15	15	6	5	68	8	29	12	22	24	34	31	19	29	13	2	
"Gambia"	1	8	14	2	4	0	0	0	0	12	14	16	0	7	13	5	3	0	0	2	
