Importers	Exported value in 2021-M02	Exported value in 2021-M03	Exported value in 2021-M04	Exported value in 2021-M05	Exported value in 2021-M06	Exported value in 2021-M07	Exported value in 2021-M08	Exported value in 2021-M09	Exported value in 2021-M10	Exported value in 2021-M11	Exported value in 2021-M12	Exported value in 2022-M01	Exported value in 2022-M02	Exported value in 2022-M03	Exported value in 2022-M04	Exported value in 2022-M05	Exported value in 2022-M06	Exported value in 2022-M07	Exported value in 2022-M08	Exported value in 2022-M09	
"World"	61002	82740	90807	69771	76875	76760	83513	87547	97939	132857	141348	83420	107081	110426	116857	119324	127089	121724	126534	146132	
"Germany"	17642	32627	41722	24724	27924	26816	24791	27728	34587	48364	64410	22219	42817	32427	37011	39848	40370	35687	50927	64284	
"France"	15600	18064	19091	19502	20886	21459	23361	25263	25459	30412	30242	25622	22918	26817	33443	31553	42116	40284	32277	34043	
"Belgium"	11780	9715	11203	8277	9192	9859	12263	12491	13553	14874	16731	12490	15134	20325	18675	16269	13637	15025	12963	16451	
"Italy"	2074	1637	1016	493	1565	1028	1891	2456	3485	5706	1733	2718	2073	3091	3542	2740	2421	3499	2261	5982	
"Spain"	730	1371	1770	1193	1349	1959	1717	2012	2101	1689	2374	2891	2746	3769	3804	5292	3951	2932	3638	4189	
"Indonesia"	767	2979	730	0	2096	1004	1204	1354	1237	0	0	2853	2893	1617	1795	0	0	2171	2154	2485	
"Switzerland"	75	1071	615	266	427	822	765	1152	85	646	1003	482	730	900	622	741	704	1039	1969	2243	
"Poland"	2010	1481	1277	734	809	1017	463	1471	3411	4603	2415	1420	1269	1531	1476	1091	1925	992	495	2155	
"United States of America"	1588	3170	5971	683	4950	5046	4195	1540	2411	13539	9090	1613	4785	2726	1306	4160	5566	6403	5690	2074	
"Austria"	239	268	318	318	352	388	245	691	1021	1350	653	473	541	1510	859	701	1270	663	353	1657	
"Singapore"	599	1569	28	974	459	1619	1059	1011	1521	1081	1469	776	304	1627	1096	1052	2498	1751	1724	1341	
"Romania"	432	469	285	7	24	241	75	656	1057	1565	551	974	763	386	261	1251	1173	864	1255	1098	
"Greece"	217	642	610	529	663	965	424	1053	656	728	615	395	529	882	933	912	1051	1281	1093	897	
"Denmark"	210	362	87	261	653	211	1413	623	883	691	728	886	599	725	442	1277	650	1117	1943	766	
"China"	1608	1597	2180	328	567	1211	591	919	63	221	1373	1620	1280	1745	1081	1610	1539	151	214	668	
"Taipei, Chinese"	69	717	289	94	671	294	246	191	112	42	0	248	0	705	646	1385	184	0	0	633	
"Bulgaria"	223	184	167	98	182	84	188	439	273	315	185	159	152	95	524	358	225	281	5	497	
"Ireland"	47	147	149	125	381	32	68	173	520	1017	920	115	217	322	159	364	337	342	324	402	
"Saudi Arabia"	225	233	328	0	337	240	0	359	113	135	154	0	315	321	489	131	326	0	131	383	
"Jordan"	93	81	97	213	219	0	109	0	106	127	0	145	158	0	304	148	0	0	0	374	
"Ship stores and bunkers"	0	1	0	1	3	7	5	0	0	0	0	22	22	36	115	274	280	338	353	364	
"Syrian Arab Republic"	182	82	0	0	0	0	0	0	0	216	0	261	222	459	334	0	479	0	0	362	
"Portugal"	2	32	30	10	5	5	13	19	10	15	110	20	9	169	682	826	465	1514	960	357	
"Iraq"	92	5	30	55	30	3	85	25	31	171	29	14	113	9	218	69	166	20	7	322	
"Hungary"	181	244	385	254	485	200	272	468	313	751	495	441	290	415	334	656	555	276	273	299	
"Malaysia"	108	122	0	0	0	121	0	41	94	116	0	170	0	60	179	145	0	125	0	244	
"Israel"	113	0	48	11	0	54	8	4	46	0	0	82	123	191	0	0	205	0	0	232	
"Japan"	90	1076	0	461	0	0	222	103	109	220	106	0	144	80	81	339	203	366	587	192	
"Kuwait"	0	94	0	0	0	0	0	101	0	0	0	0	0	0	0	0	186	0	0	187	
"United Kingdom"	19	31	323	131	115	114	418	295	41	282	230	508	19	71	35	18	52	1577	1470	165	
"Cyprus"	1030	4	0	7655	88	55	1653	983	22	328	819	826	3337	4428	4615	3820	173	113	175	156	
"Sweden"	85	145	155	98	196	64	131	90	169	155	76	75	191	120	201	154	245	106	80	130	
"Bahrain"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	
"Korea, Republic of"	323	179	174	268	588	0	388	494	297	368	322	188	159	54	308	0	176	298	465	76	
"Aruba"	21	18	23	31	40	31	31	31	24	24	38	23	31	48	39	48	22	54	34	72	
"Curaçao"	15	15	21	29	24	24	68	30	19	30	40	29	39	17	8	46	14	9	34	24	
"Slovakia"	0	0	0	5	0	0	5	0	6	238	1	120	4	13	5	149	81	3	3	24	
"Czech Republic"	195	390	148	44	112	118	103	338	771	876	480	438	74	235	63	771	222	234	264	24	
"Lithuania"	833	81	153	96	69	89	789	252	609	383	383	470	244	725	651	273	613	1667	1048	14	
"Ghana"	0	0	1	2	0	6	0	12	0	1	0	12	3	0	2	9	0	14	26	14	
"Mali"	4	0	1	18	12	1	16	14	9	16	27	14	5	0	2	0	6	1	0	12	
"Slovenia"	33	29	86	32	1	30	1	28	1	32	44	1	106	2	20	2	9	40	168	12	
"Sierra Leone"	12	0	13	0	12	6	0	9	0	10	6	0	4	0	0	0	20	0	8	10	
"Malta"	9	3	0	4	7	10	14	14	11	4	27	1	1	36	4	7	49	11	14	9	
"Equatorial Guinea"	2	4	4	4	11	0	5	1	0	0	3	1	0	7	1	10	0	4	5	9	
"Cambodia"	4	0	0	0	9	0	0	0	5	5	5	0	6	0	0	7	0	0	7	8	
"Gambia"	1	0	0	4	2	0	0	5	0	1	4	3	0	2	0	0	0	0	3	8	
"Thailand"	0	0	0	0	0	0	0	0	0	0	153	312	0	0	0	0	0	0	0	8	
"Senegal"	102	219	20	463	99	0	3	84	187	52	326	95	152	33	0	0	72	142	33	7	
"Norway"	2	2	35	0	22	4	67	0	2	3	3	0	76	6	2	1	17	1	1	5	
"Luxembourg"	1	0	0	2	2	1	1	2	3	0	0	2	1	1	2	3	2	5	4	5	
"Finland"	0	0	2	0	0	0	0	5	0	0	1	8	9	13	31	9	25	4	3	5	
"Bonaire, Sint Eustatius and Saba"	8	8	3	4	9	10	12	7	9	14	13	12	13	22	11	10	17	5	12	4	
"United Arab Emirates"	0	82	0	311	0	0	0	118	0	0	15	162	0	367	0	15	11	0	0	4	
"Suriname"	10	16	26	58	58	72	16	21	0	0	11	15	9	40	24	12	57	16	48	4	
"Sudan"	0	0	0	13	3	0	0	0	0	0	0	0	0	0	14	0	0	0	2	3	
"Estonia"	0	0	0	107	0	2	0	4	0	1	0	1	1	1	1	1	2	0	2	3	
"Croatia"	1	1	159	2	70	70	1	0	1	1	2	1	0	3	3	309	308	3	404	3	
"Canada"	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	3	
"Antigua and Barbuda"	0	3	0	1	0	0	5	0	1	0	0	4	2	5	0	0	3	0	0	3	
"Congo, Democratic Republic of the"	0	2	0	0	2	0	1	0	0	0	0	0	1	0	2	0	1	8	4	2	
"Niger"	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	2	
"Morocco"	61	94	76	0	548	104	96	662	1173	289	520	0	728	94	263	0	0	0	1	1	
"Falkland Islands (Malvinas)"	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	1	
"Latvia"	147	364	83	1	79	0	0	0	105	0	0	5	2	4	1	2	2	0	0	1	
"Iceland"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	
"Côte d'Ivoire"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	
"Palestine, State of"	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	
"Gibraltar"	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	
"Guinea"	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Guyana"	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	0	0	
"Hong Kong, China"	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	
"Liberia"	0	0	0	1	3	744	2062	0	0	0	8	0	0	0	0	25	0	0	0	0	
"Libya, State of"	0	3	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	
