Importers	2021-M10-Exported quantity, Kilograms	2021-M11-Exported quantity, Kilograms	2021-M12-Exported quantity, Kilograms	2022-M01-Exported quantity, Kilograms	2022-M02-Exported quantity, Kilograms	2022-M03-Exported quantity, Kilograms	2022-M04-Exported quantity, Kilograms	2022-M05-Exported quantity, Kilograms	2022-M06-Exported quantity, Kilograms	2022-M07-Exported quantity, Kilograms	2022-M08-Exported quantity, Kilograms	2022-M09-Exported quantity, Kilograms	
"World"	19718122	22228465	32430585	24628268	21194507	29376897	19944152	16226258	19701775	23439319	11282325	14190718	
"China"	3278491	8030495	12526816	7344082	6092320	12966125	6604309	3717707	6998525	7202670	3343814	5235422	
"Australia"	2160666	2016328	2087866	1670881	1648427	1906230	2180840	1869732	2052907	2854276	1875176	1680447	
"Indonesia"	625328	1316638	920972	1541744	1281866	1168882	912082	1687742	1093756	2111732	730540	1070467	
"Saudi Arabia"	937638	1247726	1970041	1916480	2290774	1172157	1391159	1544942	1238112	784844	224495	776520	
"Taipei, Chinese"	1164176	1205103	1631352	768184	783009	2040743	691006	1253756	818411	744399	477066	661704	
"Hong Kong, China"	866394	698586	570641	286190	276663	332104	176463	159913	204801	386630	367086	526522	
"Singapore"	853684	502825	732213	265931	182430	607143	318240	355055	456405	456239	184009	501956	
"Korea, Republic of"	914268	952400	681803	863158	250457	982939	767433	561761	885625	561964	183482	490944	
"Malaysia"	844972	352120	872279	447357	734055	598555	466384	431939	388571	352921	483436	376424	
"United States of America"	494044	584692	632434	704640	262084	743408	553836	116933	762103	618010	612462	310440	
"Georgia"	551906	634019	972339	351590	515411	631139	157290	386556	436350	452996	53641	297621	
"United Arab Emirates"	272203	200714	459868	300039	286960	229122	371710	295013	320614	327169	183270	246289	
"Philippines"	257092	462427	408984	238181	302478	588659	400413	321928	309551	393458	126107	246173	
"Fiji"	92471	120993	17096	27238	152052	224093	2767	254262	24347	53374	155794	221424	
"Netherlands"	0	0	0	0	0	0	0	0	0	1755265	341345	207218	
"Viet Nam"	223664	234705	373028	100317	154782	564791	284337	251942	215244	292442	125411	147053	
"Mexico"	186452	111893	173134	226271	75057	74120	287816	151315	74664	255847	220986	131059	
"Jamaica"	27991	56799	101054	205551	90624	47097	28306	51882	64562	68867	28512	106029	
"Chile"	285473	155891	465675	518579	440221	778163	155645	51882	0	467171	0	104057	
"Canada"	165272	143215	587892	582864	636994	585679	536062	377947	654726	374422	484232	86418	
"French Polynesia"	111763	135390	101838	76183	38639	58365	83799	92912	95359	50343	37693	82741	
"Tonga"	1244	19774	29842	21195	10446	32805	10437	1101	22446	29172	13554	66950	
"Thailand"	134580	97457	119867	73366	65859	144312	210782	84463	217354	74503	86914	59781	
"Belgium"	0	0	0	0	0	0	0	0	0	0	0	51882	
"Japan"	1187052	574764	895326	437122	370986	490170	583099	290958	635371	966559	264968	49144	
"Kuwait"	47876	50415	74544	0	77823	77231	51882	129705	129705	149905	51882	41695	
"Qatar"	57359	0	94041	41618	104521	62727	41027	117001	130032	55220	0	39178	
"Myanmar"	12644	51882	85021	66616	51882	40202	117023	0	25941	0	19254	38977	
"Mauritius"	43559	0	42658	35579	17472	17899	17045	17541	16796	17472	8262	34507	
"Jordan"	51856	0	0	51882	25941	24706	0	0	51058	25889	0	25941	
"United Kingdom"	0	0	0	103712	101679	0	0	0	25941	51676	0	25941	
"Trinidad and Tobago"	25359	25229	0	38605	25091	0	48056	0	0	25040	0	25620	
"New Caledonia"	49155	706	22179	4201	1062	39798	41237	21163	40176	28775	38208	22498	
"Seychelles"	14277	0	0	0	0	13704	0	0	0	0	0	22005	
"United States Minor Outlying Islands"	8281	20843	18559	18559	20744	26738	11008	0	25392	23050	0	20894	
"Guatemala"	46153	31454	29506	30613	33757	47401	32767	55430	30905	70300	11962	18666	
"Maldives"	16742	11132	21247	16164	17061	14271	0	18741	17414	17539	0	17937	
"Curaçao"	15101	16625	12999	26402	0	0	0	0	16395	49462	0	16170	
"Antigua and Barbuda"	0	0	15676	0	0	0	15739	0	0	0	0	15777	
"Bermuda"	14518	0	0	12984	15336	0	0	0	17090	0	0	15442	
"Aruba"	0	0	13883	0	0	12200	0	0	0	15103	0	14985	
"Papua New Guinea"	35335	27688	15317	25443	17256	6333	39760	32985	4164	46233	0	14913	
"Samoa"	19374	29292	21287	17335	20917	10795	7415	23690	25623	66081	0	12894	
"Saint Lucia"	0	0	12037	0	0	0	12764	0	0	0	0	12822	
"Cambodia"	11786	0	18414	9644	0	7628	18610	20322	31610	7341	11021	7586	
"Solomon Islands"	5581	6283	4348	4348	0	4109	0	4679	4447	4388	0	4606	
"Cook Islands"	0	1125	1637	788	4715	2601	1207	3497	8225	10127	8308	2525	
"Timor-Leste"	0	0	11179	0	0	0	863	0	0	0	0	1179	
"Wallis and Futuna Islands"	1809	1809	931	1115	743	1101	0	932	384	0	1238	1119	
"Vanuatu"	0	0	7874	2839	2420	3907	5186	1738	4356	5007	4686	980	
"Guyana"	0	686	0	0	0	0	0	0	0	0	0	699	
"Niue"	0	340	311	0	0	548	149	835	247	300	329	290	
"Marshall Islands"	99	0	0	0	82	0	96	95	0	0	0	96	
"Kiribati"	0	3055	0	0	1539	2571	1886	0	481	0	2468	91	
"Grenada"	13223	0	0	0	0	13793	0	0	0	16474	0	0	
"Denmark"	0	0	0	0	0	0	0	146999	244972	21617	0	0	
"El Salvador"	0	0	0	10665	0	0	0	0	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	9129	0	23393	0	0	0	0	0	0	
"Gambia"	0	0	0	0	0	0	0	16630	0	0	0	0	
"Ghana"	0	0	0	0	0	0	25195	0	25941	0	0	0	
"Brunei Darussalam"	0	0	81027	22830	29910	0	31972	20281	0	0	0	0	
"Belize"	13244	0	0	15900	9609	0	0	10672	0	12435	0	0	
"Sri Lanka"	66777	0	39378	33450	0	33439	0	0	0	0	0	0	
"Azerbaijan"	177565	169790	364786	513502	229859	532643	85893	0	223902	396294	0	0	
"Algeria"	69176	103661	0	0	0	0	0	0	0	0	0	0	
"Austria"	0	0	0	0	0	339	0	0	0	0	0	0	
"Bahamas"	0	0	0	0	0	14984	0	0	0	14941	17046	0	
"Bahrain"	8651	19437	0	26444	8158	10505	0	34293	0	226683	106582	0	
"Bangladesh"	0	0	0	14823	14823	0	0	0	0	0	0	0	
"Barbados"	15889	0	7927	0	13507	12449	10591	0	26098	13223	12930	0	
"Palau"	0	0	0	0	0	0	0	0	0	0	205	0	
"Panama"	16639	0	0	0	0	15171	0	16423	0	0	18265	0	
"Peru"	0	0	0	0	0	0	8227	0	0	0	0	0	
"India"	0	0	0	60	9857	18512	120	0	0	0	0	0	
"Russian Federation"	330567	384635	868737	1450068	1625269	51882	0	0	22584	0	0	0	
"South Africa"	285299	155156	259332	311034	285221	25941	103712	51882	384661	0	0	0	
"Syrian Arab Republic"	0	0	0	0	25915	0	0	0	0	0	0	0	
"Norfolk Island"	0	2687	0	1439	0	0	1386	0	0	0	1874	0	
"Northern Mariana Islands"	0	7309	0	12353	0	7844	0	0	7844	6860	0	0	
"Micronesia, Federated States of"	0	470	0	0	0	234	0	0	0	0	470	0	
"Morocco"	454181	201110	194952	1107692	181535	357674	365361	162723	188664	103764	0	0	
"Oman"	0	48779	0	42110	0	0	10785	0	0	9877	0	0	
"Nauru"	294	0	0	0	0	0	0	0	0	0	283	0	
"Libya, State of"	0	0	0	0	0	0	363172	362349	0	0	0	0	
"Türkiye"	0	21449	0	42904	41818	60340	0	21427	0	165171	0	0	
"Tuvalu"	0	0	0	0	0	0	0	0	923	403	384	0	
"Ukraine"	0	0	17424	0	0	0	0	0	0	0	0	0	
"Egypt"	2152929	980438	2741014	1538275	1236391	814483	1299803	622584	0	147396	362675	0	
