Importers	Exported value in 2010-M01	Exported value in 2010-M02	Exported value in 2010-M03	Exported value in 2010-M04	Exported value in 2010-M05	Exported value in 2010-M06	Exported value in 2010-M07	Exported value in 2010-M08	Exported value in 2010-M09	Exported value in 2010-M10	Exported value in 2010-M11	Exported value in 2010-M12	Exported value in 2011-M01	Exported value in 2011-M02	Exported value in 2011-M03	Exported value in 2011-M04	Exported value in 2011-M05	Exported value in 2011-M06	Exported value in 2011-M07	Exported value in 2011-M08	
"World"	692494	535837	687953	645822	644285	560627	528068	362827	497635	829638	779951	776429	802555	749642	910707	944726	791099	732157	690368	480259	
"China"	120237	82648	115076	122537	125422	93945	83273	30109	96066	152159	126005	177618	176497	223495	213993	155856	132221	86493	86946	45733	
"Australia"	29028	36001	34483	24127	32262	27680	30488	35070	34373	32457	31393	23359	34296	29497	29271	30327	38077	33482	29458	32819	
"Philippines"	46032	29131	37400	38139	28334	27527	34034	13128	22385	37444	29963	39710	31804	30494	26249	42921	30080	42365	32312	27715	
"Sri Lanka"	15324	16166	20476	15653	16093	22149	14032	17411	14843	21037	18425	13831	26327	15246	20654	18016	20155	23552	17850	25963	
"Japan"	28957	22866	20126	23576	26812	21467	20792	16853	16404	18878	24666	22554	24744	30931	24383	29132	25134	26487	39815	24379	
"Saudi Arabia"	20002	22877	28775	23333	15601	23918	16324	16856	12619	32177	42402	31239	35488	25304	38924	39110	26058	49110	26256	23944	
"Indonesia"	36575	20792	24877	18186	20591	19737	19725	9564	18184	19801	17717	16235	19063	17977	23542	30790	28649	33148	20418	22792	
"Singapore"	25953	22202	21104	22653	20724	23097	22838	13164	12780	21211	21790	23605	23507	14880	18221	21793	24548	28991	29235	21677	
"Malaysia"	35322	20000	25645	18018	27833	25083	21428	15668	18253	21099	26547	28474	33374	24577	32663	32320	35146	34157	27033	21464	
"Taipei, Chinese"	17332	14559	13561	13824	15698	17437	15042	11004	10634	20920	19137	17751	20164	22398	28210	27030	18632	13833	17476	20158	
"United States of America"	28141	15138	37538	24025	22821	23880	33743	17518	24863	25850	35142	19911	23682	29798	39296	19569	25393	26740	48979	16442	
"United Arab Emirates"	18821	13620	17598	17253	15228	17201	18815	14124	9283	22491	17098	14105	29152	22517	32045	30694	22622	28532	24108	15673	
"Thailand"	18440	13930	14783	16405	15503	18549	17693	15044	14228	32871	46300	21416	34459	33898	29223	21784	17110	14476	18358	13765	
"Korea, Republic of"	9703	8603	5617	6074	11432	6910	11751	5427	7545	7594	11378	10188	9676	10110	12880	17302	19765	11061	9752	10342	
"Russian Federation"	8316	9483	12735	5872	7503	10076	10484	6475	10714	17021	16670	25205	24285	8732	9627	8724	12134	1300	4743	9512	
"Denmark"	12391	8914	18053	12688	1302	5943	8159	5832	2426	27671	9116	6070	9960	0	17150	10921	8992	4971	11834	9140	
"Egypt"	16414	9660	7321	14182	12073	20275	6707	7898	8894	17510	16079	17234	12519	2936	11410	32591	17039	28742	20681	8388	
"Venezuela, Bolivarian Republic of"	18091	2222	15998	36676	31213	24286	7221	17764	51427	41882	43166	45795	13082	14934	26148	38088	24466	34420	25871	7793	
"Hong Kong, China"	5334	4860	7073	4094	4540	5384	5232	4000	4359	6646	5456	6456	4991	6806	7204	8341	8353	6771	8984	6963	
"Nigeria"	8061	7309	7459	4489	7724	6003	4239	7007	3006	5977	10088	6061	6643	8196	7892	12936	13471	9367	7999	6603	
"Viet Nam"	17530	13936	13861	14996	10439	11961	9481	4756	6601	21233	20666	16492	21496	11253	19243	16554	17754	16132	13378	6128	
"United Kingdom"	3219	2387	5463	3014	6826	8007	7031	3121	1027	2628	2637	4358	2941	2539	2744	2979	4106	4962	9127	5868	
"Syrian Arab Republic"	7608	2908	4202	3548	3874	2583	6611	4655	340	8545	4506	5915	5495	2999	5835	8059	1827	1665	7545	5710	
"Sudan (before 2012)"	10882	9368	11150	10991	14388	3843	0	0	3046	3902	9026	5304	3703	3087	6538	5884	8608	5012	4527	5446	
"Morocco"	7149	4052	1741	1456	5052	2976	5228	493	2579	6954	7671	5314	4348	8980	6869	10760	3551	3221	4348	4924	
"Peru"	1534	297	3103	1716	3087	393	3750	6516	2709	5887	7600	7120	2018	562	2413	10110	2953	4162	6793	4775	
"Canada"	2172	1614	3759	4413	4021	526	175	404	819	5503	4151	1394	1360	3424	3154	399	4138	1675	9265	4594	
"Netherlands"	3976	3879	1070	216	608	3807	3001	2074	215	676	2747	180	550	3	398	3271	2601	2044	5938	4570	
"Mexico"	12860	12429	15265	10108	23548	15057	11030	2835	6065	26064	17499	10386	24761	28683	28277	27373	33328	20639	6973	3990	
"Belgium"	2005	2088	2488	2764	4118	3790	2045	1202	259	2867	161	2357	1446	243	54	409	3309	1507	3387	3420	
"Algeria"	16254	13505	23538	11923	12643	7283	8226	6756	6589	24338	12421	21705	28810	24523	36254	82851	40822	30049	20918	3348	
"Trinidad and Tobago"	2927	1688	3094	1937	2967	3487	1551	1805	3640	2214	1384	3307	3573	2225	3537	4542	1887	3833	2449	3229	
"Bahrain"	3286	4501	3221	2719	4438	4103	5092	3862	4399	2546	2275	3612	2225	2131	3382	2271	7222	4433	2297	3225	
"Bangladesh"	4786	3437	5767	2420	6480	2461	7693	2246	5333	3535	3876	7202	8057	7656	13272	14513	9570	8507	6309	3150	
"Fiji"	1839	1868	2424	2032	1965	2267	2774	2317	3907	2684	1105	981	2571	3489	2438	2648	860	2135	1816	2920	
"Armenia"	2694	614	2219	1838	1417	1962	2131	1904	0	1036	1698	1399	1514	2103	2347	679	596	1604	856	2790	
"Mauritius"	2682	2656	3654	1827	3273	795	1984	3743	1184	2043	3737	2999	2645	2153	4511	3613	2847	4167	3189	2741	
"Iran, Islamic Republic of"	8616	15582	17695	16319	9648	1445	2205	979	5020	19073	21401	38258	15836	9630	43072	16722	14954	5642	820	2728	
"Kuwait"	1575	2546	2827	3484	2355	961	3322	1412	4071	5958	9026	5620	4588	4904	7064	6305	2339	4396	2410	2668	
"South Africa"	1214	2073	1089	776	937	1437	750	274	998	2156	3283	891	2281	1324	1121	1950	2093	2780	4847	2069	
"France"	763	211	111	15	63	0	65	186	6	300	228	226	648	410	461	384	284	193	452	1823	
"Dominican Republic"	1955	1948	1337	795	1284	638	1018	1048	551	1216	2486	1900	1619	1682	1718	1170	789	634	968	1780	
"Türkiye"	583	1629	502	1706	54	785	841	722	186	3426	1738	2844	2488	299	2468	0	1278	1003	4499	1780	
"French Polynesia"	1306	1496	1798	1371	2620	1303	1058	1296	1474	2467	1278	1483	1620	1352	1497	1605	2796	1422	2003	1643	
"Ukraine"	0	0	0	0	0	0	0	0	80	413	0	96	0	87	0	1090	0	0	1295	1628	
"Nicaragua"	3768	2774	4182	1506	3585	1690	1019	1151	843	718	1634	184	3406	1442	1875	3839	2457	2765	1903	1553	
"New Caledonia"	1113	1403	1562	1641	1064	1276	1432	996	1829	2011	1394	971	1612	2244	1946	2101	1415	2084	1952	1520	
"Azerbaijan"	5478	3578	6224	4846	2363	3012	3118	2951	1043	4886	5930	5099	6306	3514	8102	8953	4320	3081	3744	1395	
"Jamaica"	2753	1525	1157	1085	1943	1055	2271	1376	2300	1874	3971	895	4294	2764	1243	1603	837	1619	1577	1301	
"Pakistan"	847	1301	1348	1244	2262	151	1811	1057	2118	7382	2317	1854	6048	1842	261	1725	1200	714	1938	1234	
