Exporters	2021-M10-Imported quantity, Kilograms	2021-M11-Imported quantity, Kilograms	2021-M12-Imported quantity, Kilograms	2022-M01-Imported quantity, Kilograms	2022-M02-Imported quantity, Kilograms	2022-M03-Imported quantity, Kilograms	2022-M04-Imported quantity, Kilograms	2022-M05-Imported quantity, Kilograms	2022-M06-Imported quantity, Kilograms	2022-M07-Imported quantity, Kilograms	2022-M08-Imported quantity, Kilograms	2022-M09-Imported quantity, Kilograms	
"World"	24909	42892	57002	17606	65923	20854	50317	168057	87585	32992	184357	111241	
"New Zealand"	0	0	0	0	0	0	0	129704	0	0	49283	98542	
"Australia"	962	23403	3356	3987	4015	3976	3076	904	4901	0	924	6375	
"Denmark"	14580	0	13362	13619	3948	12491	16125	11201	7768	6990	0	5572	
"India"	8467	19489	15750	0	57960	4387	161	26150	26250	26000	56320	750	
"United States of America"	900	0	0	0	0	0	0	0	0	0	0	0	
"Fiji"	0	0	0	0	0	0	0	0	0	0	385	0	
"France"	0	0	24516	0	0	0	0	0	0	0	0	0	
"Ireland"	0	0	0	0	0	0	30953	0	48666	0	77445	0	
"Lithuania"	0	0	0	0	0	0	0	92	0	0	0	0	
