Importers	2014-M10-Exported quantity, Kilograms	2014-M11-Exported quantity, Kilograms	2014-M12-Exported quantity, Kilograms	2015-M01-Exported quantity, Kilograms	2015-M02-Exported quantity, Kilograms	2015-M03-Exported quantity, Kilograms	2015-M04-Exported quantity, Kilograms	2015-M05-Exported quantity, Kilograms	2015-M06-Exported quantity, Kilograms	2015-M07-Exported quantity, Kilograms	2015-M08-Exported quantity, Kilograms	2015-M09-Exported quantity, Kilograms	2015-M10-Exported quantity, Kilograms	2015-M11-Exported quantity, Kilograms	2015-M12-Exported quantity, Kilograms	2016-M01-Exported quantity, Kilograms	2016-M02-Exported quantity, Kilograms	2016-M03-Exported quantity, Kilograms	2016-M04-Exported quantity, Kilograms	2016-M05-Exported quantity, Kilograms	
"World"	31910240	24536516	30646508	38143992	17693122	32686959	21779320	18837074	18510123	19994605	17442507	15769494	27347861	29849470	33890290	36178436	25923206	24292744	19032708	22435184	
"China"	2809463	2796827	5453196	3903877	2270425	3161337	2971610	2927185	3738089	3333370	3747105	2724195	6114397	8194610	10363560	5393991	3585913	3050061	2459371	4415142	
"Egypt"	1491506	304974	3630142	4018993	862729	2132287	5503402	1667624	2260782	2399189	58844	590127	862490	3243720	2306187	3992357	2659647	3781457	1636557	2827953	
"Australia"	2571712	2705506	1499804	1519319	2258973	1746413	763621	725916	1251773	642457	1200112	1041806	1943686	1171726	1307285	1616210	1580021	2074163	1670027	1692544	
"Iran, Islamic Republic of"	311007	1768175	562605	97920	0	5649114	0	0	517016	2040117	475531	0	392296	1619446	2166389	7594800	3538391	3447719	1450081	1258549	
"Saudi Arabia"	2097650	2580244	1999194	478821	230968	1939472	1828449	1158627	945035	820259	601366	249206	423213	890477	970125	2852851	2163543	1213712	601887	1193284	
"Türkiye"	2760689	1750723	3554955	3547776	1191634	155594	901589	411066	647570	1192534	383117	782267	2147616	844494	3961794	1525015	518509	142915	1037403	1035988	
"Japan"	3971828	225116	918471	1412399	12765	399696	475706	620008	17869	1758290	2504012	2003964	1594639	51856	76529	181309	24217	410033	1502455	1000201	
"Taipei, Chinese"	653799	1024846	765634	1019718	991067	1222585	991035	1338635	497852	767011	1089118	720547	871155	883276	963163	505830	1125422	952690	1049009	979571	
"Morocco"	1342437	487721	778403	1360452	851978	1635083	351054	675483	551489	98073	765593	233083	727412	849656	1025946	1726712	708682	1084683	77823	863525	
"Indonesia"	1505299	909420	563309	930692	760187	882201	667927	910687	232478	844988	1079503	698463	2669791	1151261	709354	1033300	879265	1305405	978995	687528	
"Azerbaijan"	1870658	1404727	2550396	1932150	1668741	1495635	1689088	1533241	1299512	140560	25485	960000	1238048	805598	1477882	818906	1094544	515944	768537	579701	
"United Arab Emirates"	750507	1074782	604841	7691439	728595	6910741	628273	361570	237145	140482	356396	268871	432238	1023902	317968	319239	415422	223533	151697	519449	
"United States of America"	291409	1169847	449000	682360	405415	432860	93393	26951	81692	183654	153291	175892	425088	668469	290944	866306	671481	218398	173083	462578	
"Singapore"	463758	631659	679291	616244	480187	876874	539448	603571	627526	482698	475371	459579	740584	647851	724494	650037	763395	572036	379877	372599	
"Korea, Republic of"	203796	139592	125588	87667	22653	140486	31590	184828	54247	55997	70197	166968	233170	170195	168059	166703	315217	251203	175109	333334	
"Hong Kong, China"	472380	490490	542463	381398	430710	394824	422041	522421	404515	353016	546670	453641	621028	593256	401550	312753	451226	501989	558113	326601	
"Chile"	0	244462	18662	18662	0	107867	25941	1198366	585233	173982	63264	60742	25838	407661	493811	544759	371329	628047	881629	315334	
"Algeria"	215125	129628	94679	392019	138172	303765	283789	306015	227090	231731	181201	146973	518115	352301	199464	649298	581995	198803	455202	311232	
"Malaysia"	375941	343858	274044	333082	447707	350712	511330	774323	351566	301175	308168	400705	382187	556505	503984	367985	441129	416970	450148	310431	
"South Africa"	138326	207321	242012	448407	430495	39014	17242	0	207347	296416	207295	0	535469	664582	154873	327401	69021	103764	222684	276523	
"Canada"	1971731	345880	224692	353959	332821	250428	181458	146587	218436	1137651	648259	838601	570030	975023	397530	607605	374985	543190	347604	254159	
"Philippines"	202540	207228	179982	252865	85092	220762	249459	300337	225888	155175	284332	305251	303292	205124	199187	321794	278583	213174	209075	239348	
"United Kingdom"	207528	206755	172630	379695	510443	0	0	0	98073	0	0	0	206781	0	0	0	0	288000	38400	207424	
"Fiji"	6315	57066	82295	43436	75982	53079	35189	102472	106433	8443	227642	111501	176287	165411	217842	118345	165386	109346	109559	169974	
"Viet Nam"	181210	232943	246691	149813	171339	197410	160722	212356	180540	165515	171171	168724	241799	258472	168722	273699	187107	276115	134492	158854	
"Armenia"	270912	0	440018	256495	302114	331279	307040	74868	201651	172476	204545	201863	254317	434929	438301	181658	94317	363615	325371	155620	
"Kuwait"	52342	76265	72340	19614	36908	15863	31778	36908	29190	34562	12094	50710	93431	157199	191505	120170	98073	54202	33276	151645	
"Bahrain"	208772	763981	501336	628923	446497	563781	452763	490366	626908	617209	129287	189132	329001	209902	476827	149955	1503991	25761	48161	114755	
"Russian Federation"	702163	0	0	0	0	0	25941	751746	440969	0	276652	0	405664	647468	1149892	976952	242063	0	0	103223	
"French Polynesia"	134390	79600	45978	70978	69435	79677	107124	8143	70894	100975	74824	102822	96209	100674	69256	56837	93626	48061	60151	102661	
"Myanmar"	0	15444	0	15444	0	36435	0	0	0	0	0	0	57120	19614	37718	16066	37645	19481	55790	86664	
"Denmark"	414257	970595	1837142	1704085	645048	0	224718	0	759929	682724	111175	648084	363018	594788	717991	698886	0	0	0	77823	
"France"	0	0	207527	180505	0	0	0	0	0	0	0	0	0	0	0	0	76800	269280	326400	76800	
"Thailand"	40000	19820	60006	149317	15505	75633	77489	46656	51210	65213	98199	63742	50460	71104	114228	80851	57375	73854	131670	65482	
"Tonga"	23473	35880	16191	18153	71608	15071	28321	13154	37532	0	55726	36215	27357	0	22050	29563	17018	46626	0	61045	
"New Caledonia"	14522	41558	27214	42555	31861	35827	18591	16228	26874	34276	38496	34390	67254	52971	12773	53032	10996	60386	39089	54494	
"Jamaica"	59833	105532	50904	164678	48603	16429	47285	32452	51617	84299	50771	83823	116196	100989	155646	51882	30947	32283	15285	48865	
"Oman"	0	52154	16517	32962	17413	16455	51098	17423	35936	0	34614	0	33001	34738	17646	16658	0	55262	16975	48359	
"Guatemala"	47508	46384	63733	29603	16825	55123	30885	57570	35848	11892	58601	95617	49741	17114	14546	76774	0	76570	0	46286	
"Papua New Guinea"	73477	41630	24618	22237	52448	32350	57461	43379	34094	24585	28194	17052	92379	32245	26757	11968	10744	49499	20977	44602	
"Uruguay"	51856	0	103738	0	51882	0	0	0	0	0	0	25941	51882	77823	51882	51882	25941	51856	25941	43235	
"Mexico"	128339	120293	18469	184423	9849	92202	73938	129017	0	91996	92140	184691	95677	36774	166058	92408	91268	18469	18604	36979	
"Georgia"	67773	18469	57055	121315	25399	0	23220	17670	176533	0	17382	0	25251	0	17653	80529	10735	28349	0	36897	
"Sri Lanka"	78463	10922	28820	46343	42845	12225	29057	27596	29319	28549	46410	50235	46641	61223	67849	94332	47239	62075	30217	34240	
"Qatar"	14678	69723	35508	32422	39343	36818	111549	31386	16045	26576	30822	39537	39558	35400	68614	42753	32483	47153	30855	32072	
"Brunei Darussalam"	0	36058	0	0	32123	43745	83262	14715	15926	0	0	16891	0	27759	0	15394	10737	64065	92118	29283	
"Samoa"	47526	22947	0	22589	50495	18744	20924	20198	47593	36311	4898	50473	7603	70593	26702	12563	17541	31643	46335	27596	
"Bangladesh"	0	0	0	17957	0	17138	0	0	17978	0	0	0	17294	17294	0	0	34588	17242	17294	17294	
"Nepal"	0	17294	0	25889	34588	0	17294	0	0	0	0	0	0	0	0	0	0	0	0	17294	
"Aruba"	0	0	15907	0	0	0	17452	0	0	0	15702	0	0	0	17110	0	0	16041	0	16743	
"Mauritius"	30968	32688	28136	29978	28250	15123	11086	27883	29954	16367	15266	27987	14398	27902	14964	27651	42109	16108	15404	14942	
"United States Minor Outlying Islands"	38757	44090	0	8063	16920	12057	52893	0	19392	0	24558	18300	10195	25000	13019	33845	0	26590	0	14031	
"Cambodia"	0	27306	0	15113	0	42686	32029	15230	49950	0	0	0	10652	14748	17294	31128	8962	0	26381	13848	
"Panama"	14386	30112	0	14100	14585	13723	28726	13863	13152	29355	15515	31643	31386	42909	12742	0	11959	12244	13743	13084	
"Bahamas"	13803	0	12770	32192	0	14898	30479	14010	17294	32169	15348	13150	14166	0	0	0	0	11150	0	12139	
"Cook Islands"	16018	3178	7835	1961	1028	1665	5598	4598	9425	2539	6012	7165	7289	1201	4219	5145	5046	2745	4969	8484	
"Maldives"	12790	17755	10385	33069	13164	28642	42603	17217	0	0	0	22981	0	9308	11701	34515	6560	0	9341	8393	
"Solomon Islands"	3210	2549	2863	0	8131	7155	3250	0	4225	4737	9778	4696	11945	11471	0	0	3350	10297	0	7418	
"Northern Mariana Islands"	0	5864	0	6538	0	10481	11637	0	0	4022	0	6194	0	6375	0	8585	0	6330	0	6582	
"Vanuatu"	10326	6848	2201	4554	1626	3544	1106	0	4839	0	8746	5011	4255	13154	6175	2428	2734	3416	2759	6103	
"Timor-Leste"	0	3356	0	0	0	0	8392	0	1894	0	0	0	3276	1306	0	16479	0	0	0	5215	
"Norfolk Island"	1287	1048	0	854	1307	588	1232	780	1100	1323	853	656	99	2496	0	1846	0	271	1438	1208	
"Niue"	945	142	0	0	504	0	652	0	340	500	740	0	0	752	386	0	512	277	784	1080	
"Wallis and Futuna Islands"	0	0	0	0	0	0	0	2347	0	0	0	0	0	0	0	0	0	0	0	663	
"Tuvalu"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	
"Ukraine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21181	0	0	0	20600	0	
"Uzbekistan"	149658	0	148692	51689	0	0	97843	0	70022	40786	41439	0	62566	79676	21373	0	39810	0	39450	0	
"Venezuela, Bolivarian Republic of"	0	0	0	1062804	0	108216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Yemen"	77823	77797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Anguilla"	0	0	0	0	0	0	0	0	0	0	19614	0	0	0	0	0	0	0	0	0	
"Saint Lucia"	0	0	0	0	0	14206	0	13202	0	0	15651	0	15312	0	0	0	0	0	0	0	
"Senegal"	17294	17294	0	25941	51856	0	0	0	0	0	0	0	0	0	51882	0	0	0	0	0	
"Seychelles"	14243	0	0	26950	0	10104	0	0	0	10738	0	0	13353	0	0	0	0	0	0	0	
"India"	0	0	0	0	0	0	196147	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Trinidad and Tobago"	48309	0	0	0	25140	24935	0	48788	0	25256	50415	0	24380	0	50217	25067	0	49736	0	0	
"Somalia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7328	0	0	
"Spain"	0	98073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Syrian Arab Republic"	25941	0	51882	0	0	0	0	0	0	0	0	0	51882	0	77797	0	77823	0	0	0	
"Nigeria"	17294	0	0	17294	0	0	0	0	17294	14823	14798	0	0	0	34588	0	0	0	0	0	
"Netherlands"	1853441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77051	0	0	0	0	
"Netherlands Antilles"	30832	0	15467	18787	0	47653	0	33693	0	0	14362	0	18458	0	16198	0	18318	14706	0	0	
"Peru"	16786	0	14635	0	18385	0	16796	0	0	34879	0	37079	0	0	18177	0	19403	0	0	0	
"Micronesia, Federated States of"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	
"Marshall Islands"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	
"Palau"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	510	0	0	0	
"Jordan"	0	0	77823	25941	0	25941	0	16033	0	0	0	0	0	0	25941	0	25941	0	0	0	
"Kenya"	0	0	0	0	0	0	0	16930	0	0	0	0	0	0	0	0	0	0	16235	0	
"Nauru"	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Iraq"	0	0	0	0	0	0	0	0	0	0	0	0	0	25941	0	0	0	0	0	0	
