Importers	Exported value in 2016-M05	Exported value in 2016-M06	Exported value in 2016-M07	Exported value in 2016-M08	Exported value in 2016-M09	Exported value in 2016-M10	Exported value in 2016-M11	Exported value in 2016-M12	Exported value in 2017-M01	Exported value in 2017-M02	Exported value in 2017-M03	Exported value in 2017-M04	Exported value in 2017-M05	Exported value in 2017-M06	Exported value in 2017-M07	Exported value in 2017-M08	Exported value in 2017-M09	Exported value in 2017-M10	Exported value in 2017-M11	Exported value in 2017-M12	
"World"	58379	51920	73947	45159	44703	85234	89367	104235	96602	94856	82456	87674	91825	86646	119490	39536	69479	107846	140840	172646	
"China"	12927	13949	16258	11395	5162	12183	13919	32585	12534	13994	18295	20434	17989	24587	51432	2150	9481	12024	30365	58610	
"United Arab Emirates"	1320	612	1385	751	832	3876	3637	2637	6673	2814	1661	5091	7522	1971	1781	1819	4482	2990	14355	16987	
"Australia"	4453	5615	5337	4745	5298	5451	7581	8747	8232	8096	9842	10033	7488	6912	6433	5577	6511	10355	11443	13103	
"Egypt"	6048	3200	2987	4346	1360	5531	1973	7094	6171	6453	1034	2914	3287	4004	4357	3622	0	2547	6993	9959	
"Indonesia"	1817	1714	3436	2159	2435	4104	5901	2309	4693	4312	2837	3985	2624	3252	3352	3248	7285	14077	7228	8754	
"Singapore"	1033	1334	994	481	1321	1129	1837	1574	1483	1295	1520	1171	2088	1875	2733	1348	2849	3333	4046	6167	
"Türkiye"	2155	214	3202	1101	643	2738	2070	1011	5415	5744	101	102	3297	0	0	121	1058	2494	7661	6147	
"Saudi Arabia"	3049	3048	1485	3861	921	1963	4015	2812	5242	6519	5143	1711	4889	4050	2941	720	2153	4866	5312	5734	
"Taipei, Chinese"	2494	2257	2610	1435	1875	2282	3921	3395	3032	4415	3557	2921	3402	4686	4843	4087	4308	3679	7500	5636	
"Morocco"	2113	1155	3920	1771	2900	2195	3109	4435	4941	3386	2503	1707	2156	1300	3529	0	2726	4581	3705	5449	
"South Africa"	590	0	1095	584	408	831	373	501	1189	1731	0	0	0	0	1698	839	539	0	241	3090	
"Azerbaijan"	1529	589	1696	1575	3347	1174	3004	2682	3930	3863	3465	2780	3207	1981	1667	1313	1962	2635	2192	2842	
"Denmark"	183	0	1699	211	279	1129	2246	2362	3134	997	0	0	0	0	3424	127	652	2066	2109	2814	
"Iran, Islamic Republic of"	3268	4122	12274	0	0	266	2122	4001	5122	3748	391	779	10532	10843	428	0	0	8409	8401	2679	
"Canada"	624	290	815	292	253	5331	3362	1490	1428	1949	1746	1385	266	593	1697	0	3013	2374	2322	2626	
"Hong Kong, China"	873	943	885	1472	945	1361	3161	2144	2045	1963	2306	3031	1866	2643	3371	1781	4124	2899	4189	2402	
"Viet Nam"	411	656	640	491	613	591	1060	850	1122	649	971	1543	2222	1717	1851	1186	1633	3070	2411	2229	
"Philippines"	596	589	845	576	726	1091	1584	998	1072	1028	1330	1691	1839	669	722	2040	2229	1994	2028	1816	
"Algeria"	772	1016	510	198	520	1484	1257	844	987	1601	993	931	1051	737	746	653	527	1149	1119	1224	
"Korea, Republic of"	1109	673	971	410	671	774	947	1171	1307	405	903	735	753	856	1698	61	221	521	2129	1169	
"Armenia"	389	672	312	185	856	1602	485	1732	1291	453	311	1070	642	936	1201	689	120	362	1049	1152	
"Thailand"	204	115	270	246	337	355	315	384	669	541	394	217	252	261	361	312	421	609	388	1106	
"Uzbekistan"	0	0	251	0	160	50	213	274	147	822	0	0	68	0	244	71	0	430	0	965	
"United States of America"	1383	908	947	718	787	760	1243	954	1632	1326	514	318	305	945	427	242	365	760	557	829	
"Russian Federation"	243	1139	2002	0	3550	8652	9737	8795	2988	6025	8391	7126	4818	685	1933	0	526	6041	1571	824	
"Fiji"	458	441	585	294	493	757	506	296	452	846	285	482	474	657	717	757	635	887	751	766	
"Malaysia"	748	770	850	863	767	1282	1130	1512	1973	2053	2138	2202	1642	1724	2017	1331	1770	3127	2843	740	
"United Kingdom"	358	0	0	0	120	0	1015	216	662	0	87	0	334	0	0	0	0	466	609	674	
"Jamaica"	188	53	74	134	64	359	354	534	134	65	221	211	143	133	197	222	326	339	632	548	
"Myanmar"	248	0	203	61	255	164	150	220	182	159	87	351	251	415	204	202	420	440	544	428	
"Chile"	741	1765	385	230	49	205	821	1099	1165	2374	3508	4118	869	3845	3737	1786	1093	485	619	410	
"Mexico"	106	284	438	56	107	240	198	0	254	247	492	527	1399	180	522	0	274	930	92	400	
"France"	183	0	0	0	0	0	0	395	0	0	133	532	0	0	0	0	0	0	0	374	
"French Polynesia"	446	409	386	258	537	395	487	529	556	127	462	349	127	517	580	376	578	511	571	357	
"Bahrain"	300	344	876	1771	215	1849	561	479	837	99	583	417	1240	299	193	0	47	0	0	329	
"Sri Lanka"	82	121	254	172	94	250	362	353	289	49	161	107	57	236	327	139	51	169	69	319	
"Japan"	2375	770	409	0	2299	7042	326	0	374	1548	3177	3485	167	1086	1980	48	3651	2494	1965	297	
"Tonga"	232	146	34	160	162	88	90	106	0	104	109	138	215	197	223	0	218	116	103	274	
"Mauritius"	38	40	125	41	31	84	55	168	117	61	110	118	61	65	178	0	81	266	103	194	
"Qatar"	70	108	80	131	90	87	113	166	119	61	266	139	103	173	287	284	199	119	370	187	
"Papua New Guinea"	262	96	155	329	336	174	124	142	329	107	172	142	121	294	204	151	52	284	202	186	
"New Caledonia"	207	180	35	60	293	211	229	75	115	193	145	149	211	126	184	219	264	323	255	185	
"Belize"	0	0	0	65	64	0	65	0	0	82	0	0	81	0	79	0	83	0	0	178	
"Kuwait"	361	218	227	108	477	283	524	409	627	521	127	148	0	143	266	274	98	278	534	175	
"Samoa"	146	75	172	238	123	65	140	67	322	147	79	332	48	199	130	144	329	101	212	174	
"Bermuda"	0	118	0	64	0	59	59	62	0	77	76	0	0	0	70	81	72	89	0	173	
"Oman"	153	67	149	55	38	172	0	54	55	154	157	62	214	74	82	153	103	134	90	156	
"Jordan"	0	122	0	0	0	0	0	0	0	203	196	0	194	0	111	0	0	123	0	130	
"Maldives"	42	0	66	49	0	58	0	29	36	46	100	56	123	51	59	50	126	119	77	109	
"Guatemala"	155	103	0	122	94	223	125	201	77	209	198	415	134	0	119	93	234	252	165	97	
"Tunisia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	94	
"Brunei Darussalam"	115	0	118	0	41	180	56	94	55	148	345	363	48	0	0	80	0	81	0	88	
"United States Minor Outlying Islands"	81	162	167	160	57	158	108	251	95	1	0	260	83	0	261	92	92	253	0	85	
"Cambodia"	34	0	0	22	0	74	66	17	76	14	0	54	35	38	157	0	52	75	64	74	
"Cook Islands"	38	43	62	12	35	47	14	9	19	64	4	23	2	32	50	58	53	72	7	48	
"Solomon Islands"	35	34	27	0	61	76	0	32	25	42	45	0	22	18	38	43	0	45	34	42	
"Vanuatu"	25	4	9	23	14	0	43	2	23	1	10	18	4	32	14	44	52	18	62	6	
"Wallis and Futuna Islands"	2	0	10	9	2	8	2	6	7	0	7	0	14	0	11	10	3	6	11	5	
"Micronesia, Federated States of"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	2	2	
"Niue"	3	0	4	1	0	1	2	0	0	1	2	0	4	3	2	4	0	6	3	1	
"Norfolk Island"	7	5	1	9	0	6	13	0	14	6	0	10	9	0	20	3	0	5	6	0	
"Northern Mariana Islands"	37	0	57	0	48	0	33	0	0	47	54	0	55	0	38	44	51	68	0	0	
"Peru"	0	0	0	146	0	101	0	0	0	105	76	0	66	0	66	0	269	0	0	0	
"Saint Lucia"	0	66	0	0	0	59	0	0	0	74	0	0	0	77	0	0	63	0	0	0	
"Timor-Leste"	30	0	32	0	43	44	0	0	9	0	0	0	14	0	1	0	0	26	0	0	
"Marshall Islands"	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
"Palau"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
"Panama"	48	0	4	49	0	48	59	0	56	0	57	0	56	63	0	127	0	142	0	0	
